"","source_st","target_st"
"1",64,95
"2",54,82
"3",54,7
"4",93,143
"5",93,NA
"6",93,149
"7",65,34
"8",65,45
"9",65,NA
"10",65,130
"11",65,35
"12",65,60
"13",65,84
"14",65,117
"15",122,90
"16",122,56
"17",122,46
"18",122,80
"19",122,12
"20",122,22
"21",122,77
"22",122,107
"23",23,48
"24",23,97
"25",23,131
"26",23,58
"27",23,94
"28",38,89
"29",38,67
"30",38,86
"31",38,117
"32",16,28
"33",47,132
"34",47,128
"35",92,77
"36",92,37
"37",140,105
"38",140,101
"39",140,39
"40",140,9
"41",140,35
"42",140,94
"43",18,21
"44",18,70
"45",18,12
"46",18,114
"47",18,106
"48",18,31
"49",18,48
"50",132,47
"51",132,128
"52",89,117
"53",89,45
"54",89,67
"55",89,119
"56",89,44
"57",89,40
"58",89,86
"59",129,24
"60",129,59
"61",129,33
"62",129,36
"63",1,68
"64",88,25
"65",20,134
"66",17,45
"67",104,83
"68",104,55
"69",104,87
"70",104,113
"71",104,3
"72",96,42
"73",96,107
"74",96,148
"75",96,23
"76",51,113
"77",51,27
"78",51,11
"79",28,16
"80",113,104
"81",113,NA
"82",113,83
"83",113,112
"84",113,3
"85",113,55
"86",113,28
"87",113,51
"88",113,105
"89",113,66
"90",113,120
"91",113,67
"92",21,70
"93",21,18
"94",21,49
"95",21,35
"96",21,82
"97",57,139
"98",NA,71
"99",NA,121
"100",NA,79
"101",69,111
"102",69,24
"103",69,110
"104",98,35
"105",98,67
"106",98,39
"107",98,10
"108",98,44
"109",98,47
"110",58,48
"111",58,97
"112",58,23
"113",58,29
"114",58,50
"115",53,111
"116",53,16
"117",NA,35
"118",102,145
"119",52,34
"120",52,117
"121",50,100
"122",50,32
"123",50,85
"124",50,84
"125",50,48
"126",119,39
"127",107,122
"128",73,126
"129",73,60
"130",36,129
"131",36,59
"132",36,4
"133",36,33
"134",36,6
"135",71,NA
"136",11,27
"137",133,22
"138",133,121
"139",133,134
"140",NA,96
"141",NA,99
"142",13,5
"143",13,103
"144",13,70
"145",31,18
"146",105,44
"147",105,140
"148",105,101
"149",105,66
"150",105,9
"151",105,14
"152",105,117
"153",39,119
"154",39,35
"155",39,67
"156",39,10
"157",39,57
"158",39,34
"159",39,40
"160",39,44
"161",32,29
"162",32,50
"163",32,85
"164",32,131
"165",32,58
"166",32,48
"167",112,63
"168",112,83
"169",112,121
"170",130,112
"171",130,34
"172",130,138
"173",130,46
"174",130,71
"175",130,68
"176",3,22
"177",3,28
"178",3,16
"179",3,55
"180",146,108
"181",146,71
"182",146,74
"183",82,49
"184",117,34
"185",117,52
"186",117,105
"187",117,44
"188",117,86
"189",117,9
"190",117,35
"191",117,66
"192",117,118
"193",117,77
"194",117,89
"195",120,55
"196",70,21
"197",70,49
"198",70,62
"199",70,NA
"200",70,18
"201",NA,74
"202",NA,118
"203",NA,81
"204",NA,3
"205",NA,141
"206",NA,113
"207",12,18
"208",12,70
"209",12,106
"210",12,91
"211",12,110
"212",12,69
"213",12,111
"214",12,20
"215",12,35
"216",12,31
"217",12,22
"218",12,92
"219",12,133
"220",12,21
"221",59,129
"222",59,36
"223",59,4
"224",101,105
"225",101,9
"226",101,140
"227",118,44
"228",118,74
"229",118,40
"230",118,31
"231",118,NA
"232",79,99
"233",79,60
"234",79,75
"235",45,65
"236",45,117
"237",45,17
"238",4,36
"239",4,129
"240",4,59
"241",4,33
"242",27,11
"243",27,51
"244",44,40
"245",44,67
"246",44,105
"247",44,66
"248",123,47
"249",123,132
"250",123,66
"251",123,86
"252",49,62
"253",49,69
"254",49,82
"255",24,69
"256",24,129
"257",24,36
"258",24,6
"259",84,65
"260",84,50
"261",66,120
"262",66,148
"263",66,37
"264",66,64
"265",126,73
"266",126,115
"267",126,60
"268",87,88
"269",87,104
"270",87,47
"271",87,92
"272",87,66
"273",87,55
"274",87,118
"275",87,44
"276",5,6
"277",5,13
"278",5,18
"279",5,49
"280",5,69
"281",5,114
"282",34,67
"283",34,35
"284",67,39
"285",67,44
"286",67,NA
"287",67,40
"288",131,48
"289",131,32
"290",131,23
"291",131,94
"292",139,57
"293",139,NA
"294",139,55
"295",106,114
"296",106,18
"297",106,12
"298",106,6
"299",6,40
"300",6,5
"301",6,24
"302",6,114
"303",6,12
"304",6,66
"305",6,36
"306",77,9
"307",77,101
"308",77,92
"309",7,134
"310",7,110
"311",7,54
"312",7,45
"313",7,92
"314",7,91
"315",121,133
"316",121,111
"317",121,69
"318",121,112
"319",121,35
"320",121,25
"321",40,44
"322",40,6
"323",40,39
"324",40,67
"325",40,105
"326",128,47
"327",128,123
"328",128,43
"329",114,6
"330",114,106
"331",114,18
"332",114,5
"333",114,49
"334",56,122
"335",94,140
"336",94,131
"337",94,23
"338",94,110
"339",94,50
"340",NA,130
"341",NA,82
"342",NA,48
"343",145,102
"344",145,21
"345",124,80
"346",124,46
"347",108,74
"348",108,146
"349",108,81
"350",108,107
"351",108,71
"352",75,87
"353",83,104
"354",83,113
"355",83,28
"356",83,3
"357",83,16
"358",134,92
"359",134,22
"360",134,12
"361",134,91
"362",14,35
"363",143,93
"364",143,149
"365",NA,67
"366",NA,10
"367",NA,99
"368",10,35
"369",10,39
"370",10,98
"371",10,67
"372",35,39
"373",35,98
"374",35,10
"375",35,34
"376",35,117
"377",35,67
"378",35,18
"379",68,121
"380",68,17
"381",68,111
"382",68,25
"383",68,66
"384",68,120
"385",68,123
"386",86,14
"387",86,82
"388",86,117
"389",86,69
"390",86,111
"391",86,148
"392",91,92
"393",91,134
"394",91,12
"395",91,22
"396",91,20
"397",91,70
"398",91,69
"399",127,26
"400",127,136
"401",127,142
"402",127,116
"403",100,50
"404",100,84
"405",80,46
"406",80,138
"407",80,124
"408",29,32
"409",29,50
"410",29,85
"411",42,46
"412",42,96
"413",42,107
"414",111,69
"415",111,25
"416",111,68
"417",111,121
"418",148,64
"419",81,141
"420",81,142
"421",110,20
"422",110,92
"423",110,12
"424",110,18
"425",110,70
"426",110,69
"427",110,22
"428",110,21
"429",46,109
"430",46,66
"431",46,138
"432",46,71
"433",46,80
"434",46,88
"435",46,36
"436",46,48
"437",46,70
"438",46,122
"439",46,42
"440",46,130
"441",46,124
"442",15,100
"443",NA,139
"444",NA,57
"445",85,50
"446",85,29
"447",85,32
"448",95,37
"449",95,64
"450",138,80
"451",138,46
"452",138,130
"453",48,97
"454",48,58
"455",48,32
"456",97,58
"457",97,23
"458",97,48
"459",97,50
"460",41,124
"461",41,34
"462",41,117
"463",41,75
"464",41,87
"465",25,111
"466",25,68
"467",25,121
"468",9,101
"469",9,77
"470",9,105
"471",9,140
"472",9,107
"473",9,92
