"","intergraph_id","adoption.date","city","clubs","community","discuss","free_time","friends","jours","med_sch_yr","meetings","patients","proximity","specialty"
"1",1,1,1,0,6,1,1,1,8,2,2,5,3,3
"2",2,12,1,0,1,2,3,4,4,6,0,4,3,1
"3",3,8,1,0,5,1,3,3,6,4,1,4,2,2
"4",4,9,1,0,4,1,1,1,5,5,1,3,3,1
"5",5,9,1,0,5,2,1,2,3,4,1,3,2,1
"6",6,10,1,0,5,2,2,1,6,3,0,5,3,2
"7",7,18,1,0,6,2,1,1,2,1,0,6,2,1
"8",8,3,1,0,5,2,2,1,8,4,0,6,1,1
"9",9,11,1,0,6,1,1,1,4,2,2,1,2,3
"10",10,2,1,0,5,1,2,4,3,4,1,6,3,1
"11",11,4,1,0,6,2,2,2,8,2,2,5,4,2
"12",12,5,1,0,4,2,1,1,3,5,0,6,1,1
"13",13,2,1,0,2,1,1,1,8,6,1,2,3,1
"14",14,15,1,0,4,2,3,4,2,5,1,5,3,1
"15",15,4,1,0,5,2,2,1,4,4,0,6,9,1
"16",16,15,1,0,3,1,1,1,4,5,2,1,2,2
"17",17,18,1,0,4,1,1,2,2,4,0,5,2,1
"18",18,5,1,0,5,2,1,2,4,5,1,6,3,1
"19",19,11,1,0,6,3,2,2,2,1,1,9,3,2
"20",20,2,1,0,4,1,1,2,8,4,2,3,3,2
"21",21,8,1,0,4,2,3,2,3,5,2,5,9,3
"22",22,7,1,1,3,2,2,3,3,6,2,4,2,3
"23",23,5,1,0,5,2,3,3,5,4,2,4,2,3
"24",24,4,1,0,1,2,1,2,5,5,1,4,2,2
"25",25,3,1,1,3,2,2,4,3,6,1,4,1,1
"26",26,6,1,0,5,2,2,1,3,3,1,5,1,1
"27",27,1,1,1,5,2,2,2,4,4,2,4,3,3
"28",28,5,1,0,4,1,3,1,8,5,2,3,2,2
"29",29,3,1,0,4,2,1,2,4,3,2,5,2,2
"30",30,15,1,0,3,1,3,4,3,6,1,4,1,1
"31",31,5,1,0,4,1,3,3,8,5,1,6,2,2
"32",32,7,1,0,6,1,1,2,4,1,1,3,3,2
"33",33,6,1,0,4,2,1,3,3,5,0,5,1,1
"34",34,14,1,0,6,2,1,9,2,1,0,2,2,1
"35",35,4,1,0,5,1,3,3,4,4,1,4,3,1
"36",36,8,1,0,5,1,3,3,5,3,1,5,2,2
"37",37,8,1,0,4,1,1,4,7,4,2,3,3,2
"38",38,14,1,0,6,3,1,1,2,1,0,2,1,1
"39",39,18,1,0,6,1,1,3,1,1,1,4,9,1
"40",40,98,1,9,3,2,3,3,4,5,2,9,3,4
"41",41,98,1,0,5,2,1,1,5,3,2,1,3,4
"42",42,98,1,0,6,2,2,3,6,2,2,5,4,4
"43",43,98,1,0,5,1,2,9,2,3,2,5,3,4
"44",44,98,1,0,3,1,2,3,6,5,2,2,3,4
"45",45,98,1,0,6,2,1,2,5,2,2,6,3,4
"46",46,98,1,0,5,1,1,1,8,3,2,2,3,4
"47",47,98,1,0,6,1,1,1,7,2,2,2,3,4
"48",48,98,1,0,5,1,3,2,3,3,1,4,2,4
"49",49,98,1,0,6,1,1,1,2,3,2,3,4,4
"50",50,98,1,0,5,2,2,1,4,4,2,4,3,4
"51",51,98,1,0,4,2,1,2,5,4,2,6,4,4
"52",52,98,1,9,5,3,1,1,8,4,2,6,2,4
"53",53,98,1,0,6,2,3,3,3,2,2,6,2,4
"54",54,98,1,0,3,1,3,2,5,5,2,3,2,4
"55",55,98,1,1,5,1,1,1,5,3,2,9,3,4
"56",56,98,1,0,6,1,1,1,3,1,2,9,3,4
"57",57,98,1,0,5,2,1,1,4,3,1,6,2,4
"58",58,4,1,0,6,2,3,4,3,2,1,4,1,4
"59",59,98,1,0,1,2,1,3,4,6,0,1,2,4
"60",60,98,1,0,1,2,3,3,2,6,2,2,3,4
"61",61,98,1,1,5,2,3,4,4,4,2,4,2,4
"62",62,98,1,0,3,2,1,2,5,5,1,3,2,4
"63",63,98,1,0,3,1,1,1,4,6,2,4,3,4
"64",64,98,1,0,1,3,2,3,6,6,0,1,2,4
"65",65,98,1,0,2,2,3,4,2,6,1,4,2,4
"66",66,98,1,1,3,2,3,3,4,5,2,5,3,4
"67",67,98,1,0,2,1,1,1,4,6,0,2,2,4
"68",68,98,1,0,1,1,1,1,2,6,2,3,3,4
"69",69,98,1,0,2,1,1,1,2,4,1,6,3,4
"70",70,11,1,0,6,2,1,9,5,1,1,9,3,2
"71",71,98,1,0,6,2,1,1,7,1,2,2,9,2
"72",72,18,1,0,6,2,2,3,3,2,1,5,2,2
"73",73,12,1,9,5,9,9,1,1,4,0,3,1,1
"74",74,12,1,0,3,2,1,2,1,4,0,5,1,1
"75",75,1,1,0,5,1,1,1,1,3,0,5,9,1
"76",76,6,1,0,4,2,1,9,5,3,1,6,2,1
"77",77,7,1,1,5,1,1,1,6,4,2,5,2,3
"78",78,1,1,0,5,1,3,2,7,3,2,3,2,3
"79",79,6,1,9,5,2,2,1,4,4,2,5,3,1
"80",80,18,1,0,6,1,1,1,3,1,1,4,2,1
"81",81,4,1,0,4,2,2,1,5,4,1,4,1,2
"82",82,18,1,0,6,1,1,1,6,1,0,3,3,2
"83",83,98,1,9,4,2,3,3,4,4,2,6,2,4
"84",84,98,1,0,4,1,1,3,3,5,2,3,3,4
"85",85,98,1,0,3,2,1,1,8,5,0,1,3,4
"86",86,99,1,0,2,2,2,3,1,6,0,9,4,4
"87",87,98,1,0,2,1,3,3,5,6,2,9,9,4
"88",88,98,1,0,3,2,3,2,8,3,2,9,3,4
"89",89,99,1,0,5,1,1,9,3,3,2,9,9,4
"90",90,98,1,0,3,2,1,1,7,2,1,9,9,4
"91",91,7,1,9,6,9,9,9,5,9,9,9,9,3
"92",92,6,1,0,6,2,2,1,7,1,2,2,3,3
"93",93,1,1,0,6,1,1,1,8,2,2,2,1,2
"94",94,2,1,0,5,2,1,1,7,4,1,3,3,2
"95",95,5,1,0,4,1,3,4,4,5,0,3,4,2
"96",96,13,1,0,5,1,2,2,2,4,1,1,9,2
"97",97,4,1,0,3,2,1,2,1,2,0,3,1,1
"98",98,3,1,0,3,2,1,9,6,5,0,2,3,2
"99",99,98,1,0,4,1,1,1,6,3,2,6,2,4
"100",100,98,1,0,3,2,1,1,7,5,2,1,3,4
"101",101,98,1,0,6,1,2,2,4,2,2,3,3,4
"102",102,98,1,0,3,2,1,2,4,6,2,2,3,4
"103",103,98,1,0,3,2,2,4,2,5,0,2,2,4
"104",104,98,1,0,3,1,1,1,5,5,1,6,3,4
"105",105,7,1,0,4,2,1,1,4,4,0,5,3,1
"106",106,98,1,9,6,3,2,2,4,2,2,9,3,4
"107",107,98,1,9,6,1,1,9,1,1,1,4,1,1
"108",108,18,1,0,6,1,1,1,3,1,1,5,1,1
"109",109,99,1,0,6,9,3,3,9,2,9,9,9,4
"110",110,99,1,9,2,9,9,9,9,9,9,9,9,4
"111",111,99,1,9,9,9,9,9,9,9,9,9,9,9
"112",112,99,1,9,9,9,9,9,9,9,9,9,9,9
"113",113,99,1,9,9,9,9,9,9,9,9,9,9,9
"114",114,99,1,9,9,9,9,9,9,9,9,9,9,9
"115",115,99,1,9,9,9,9,9,9,9,9,9,9,9
"116",116,99,1,9,9,9,9,9,9,9,9,9,9,9
"117",117,99,1,9,9,9,9,9,9,9,9,9,9,9
"118",118,98,2,0,5,2,1,2,7,3,2,5,2,2
"119",119,1,2,0,4,2,1,1,2,6,1,4,3,1
"120",120,98,2,0,5,1,1,1,3,3,2,5,2,1
"121",121,7,2,0,1,2,1,1,2,6,0,2,3,2
"122",122,6,2,0,4,2,1,2,8,4,1,4,2,2
"123",123,1,2,0,5,2,3,1,4,4,2,5,3,1
"124",124,18,2,0,5,2,1,9,1,1,0,5,1,2
"125",125,7,2,0,6,2,1,1,3,2,2,5,1,1
"126",126,6,2,0,3,2,3,4,3,5,2,4,3,3
"127",127,1,2,0,6,1,1,1,5,3,2,4,1,1
"128",128,2,2,0,6,1,1,2,3,1,1,5,3,1
"129",129,5,2,0,2,1,3,2,3,6,2,3,3,3
"130",130,1,2,1,4,1,2,4,2,3,0,6,2,1
"131",131,1,2,0,1,1,1,1,4,5,1,4,1,1
"132",132,2,2,0,5,2,1,1,2,3,2,5,3,1
"133",133,2,2,0,4,2,3,3,8,6,2,6,3,1
"134",134,11,2,0,4,2,1,9,4,2,0,3,9,1
"135",135,5,2,0,4,1,2,2,5,5,0,2,2,2
"136",136,17,2,0,4,3,1,1,2,4,1,6,1,1
"137",137,7,2,0,3,1,1,1,2,6,1,4,2,1
"138",138,98,2,0,3,2,2,3,3,5,2,2,3,4
"139",139,98,2,0,6,2,1,1,5,2,2,3,3,4
"140",140,98,2,0,3,2,2,2,8,6,2,2,3,4
"141",141,98,2,0,4,2,1,1,7,4,2,3,2,4
"142",142,98,2,0,5,1,1,1,4,3,2,5,3,4
"143",143,98,2,0,3,2,3,2,3,5,2,9,3,4
"144",144,98,2,0,3,3,2,2,5,6,2,2,2,4
"145",145,98,2,1,6,2,2,2,5,2,2,6,3,4
"146",146,98,2,0,1,1,3,2,3,6,1,9,2,4
"147",147,98,2,0,4,9,1,3,4,4,2,4,3,4
"148",148,98,2,0,5,2,1,1,8,4,2,5,3,4
"149",149,98,2,0,1,2,3,1,2,6,1,1,1,4
"150",150,98,2,0,3,2,2,2,4,5,2,3,2,4
"151",151,1,2,0,4,1,1,2,4,3,2,5,2,3
"152",152,18,2,0,6,1,1,9,8,2,2,5,1,1
"153",153,9,2,0,3,2,1,1,8,6,1,5,2,2
"154",154,9,2,0,3,2,1,9,5,3,1,9,1,1
"155",155,18,2,0,5,3,1,1,5,5,1,6,2,4
"156",156,7,2,0,3,1,1,1,2,5,0,3,9,1
"157",157,98,2,0,6,1,1,1,7,2,2,6,2,4
"158",158,98,2,0,5,1,3,1,3,4,1,5,3,4
"159",159,98,2,0,6,1,1,3,6,2,2,5,9,4
"160",160,98,2,0,1,1,1,1,3,6,2,2,2,4
"161",161,98,2,9,5,9,9,9,2,3,2,4,9,4
"162",162,99,2,9,4,9,9,9,9,4,9,9,9,4
"163",163,99,2,9,8,9,9,9,9,9,9,9,9,4
"164",164,99,2,9,6,9,9,9,9,2,0,9,9,4
"165",165,99,2,9,6,9,1,3,9,1,1,9,9,4
"166",166,99,2,9,9,9,9,9,9,9,9,9,9,9
"167",167,99,2,9,9,9,9,9,9,9,9,9,9,9
"168",168,2,3,0,5,2,2,2,5,4,0,6,3,2
"169",169,18,3,0,6,1,1,1,2,2,1,6,1,1
"170",170,18,3,0,1,2,3,2,4,6,0,1,3,2
"171",171,4,3,0,6,1,1,1,2,3,1,6,3,1
"172",172,18,3,0,5,2,1,2,3,4,2,6,1,1
"173",173,5,3,0,6,1,1,1,4,1,1,3,3,2
"174",174,7,3,0,2,2,3,3,5,4,2,5,3,1
"175",175,18,3,0,6,1,1,2,5,1,1,4,3,2
"176",176,3,3,0,3,2,1,1,3,5,1,4,3,2
"177",177,15,3,0,5,1,1,2,2,3,2,6,3,1
"178",178,16,3,0,6,1,3,1,3,1,2,6,2,4
"179",179,7,3,0,4,1,1,1,2,5,1,5,2,1
"180",180,6,3,1,4,2,1,9,3,4,1,4,3,2
"181",181,6,3,0,4,1,3,3,3,5,0,5,4,3
"182",182,5,3,1,5,2,1,1,7,4,2,3,3,4
"183",183,98,3,0,4,2,3,2,4,3,2,6,3,4
"184",184,98,3,0,2,2,1,3,3,4,0,1,3,4
"185",185,98,3,0,4,1,2,3,4,3,2,6,3,4
"186",186,98,3,0,2,1,1,1,5,6,2,1,3,4
"187",187,98,3,0,4,2,3,3,3,4,2,4,3,4
"188",188,98,3,0,3,1,1,1,3,6,2,6,2,4
"189",189,98,3,0,6,1,1,1,3,3,0,6,3,4
"190",190,98,3,0,5,1,1,1,7,4,2,6,3,4
"191",191,98,3,0,5,1,1,1,6,2,2,9,3,4
"192",192,98,3,0,4,1,1,2,3,4,2,9,3,4
"193",193,98,3,0,3,1,3,2,2,4,2,2,3,4
"194",194,98,3,0,4,2,2,2,3,3,2,3,3,4
"195",195,3,3,0,5,1,1,9,3,4,0,9,3,1
"196",196,13,3,0,1,1,3,9,5,5,1,4,3,2
"197",197,11,3,0,2,2,1,1,3,3,0,6,1,1
"198",198,8,3,0,6,2,1,2,8,2,2,6,3,3
"199",199,3,3,1,5,2,1,1,4,3,1,6,1,1
"200",200,2,3,0,2,2,1,1,3,2,0,2,2,1
"201",201,98,3,0,6,1,1,1,3,1,0,5,9,4
"202",202,99,3,9,6,9,9,3,9,1,9,9,9,4
"203",203,99,3,9,3,9,9,9,9,9,9,9,1,4
"204",204,99,3,9,2,9,9,1,9,2,9,9,9,4
"205",205,99,3,9,1,9,9,9,9,9,2,9,9,4
"206",206,99,3,9,9,9,9,9,9,9,9,9,9,9
"207",207,99,3,9,9,9,9,9,9,9,9,9,9,9
"208",208,99,3,9,9,9,9,9,9,9,9,9,9,9
"209",209,99,3,9,9,9,9,9,9,9,9,9,9,9
"210",210,99,3,9,9,9,9,9,9,9,9,9,9,9
"211",211,99,3,9,9,9,9,9,9,9,9,9,9,9
"212",212,18,4,0,4,1,1,1,3,4,1,5,2,1
"213",213,18,4,0,1,1,1,1,3,4,0,6,2,1
"214",214,4,4,1,3,2,2,1,5,6,1,3,3,1
"215",215,5,4,1,5,1,1,1,3,4,0,5,2,1
"216",216,8,4,0,4,2,3,1,5,4,1,6,9,2
"217",217,4,4,0,6,2,1,2,7,1,2,4,3,2
"218",218,3,4,1,3,1,3,4,3,6,0,3,3,2
"219",219,8,4,0,6,1,1,1,1,3,1,6,2,1
"220",220,13,4,0,4,1,1,1,2,4,0,5,2,1
"221",221,6,4,0,4,2,3,2,5,4,0,4,2,3
"222",222,3,4,0,2,1,2,2,4,6,0,4,3,2
"223",223,6,4,0,4,1,1,2,6,3,2,5,3,1
"224",224,14,4,0,3,1,1,1,4,6,1,4,3,1
"225",225,7,4,1,4,1,2,2,2,4,1,5,1,1
"226",226,4,4,1,5,9,3,2,5,4,1,6,1,1
"227",227,14,4,0,1,2,2,4,6,6,1,9,3,3
"228",228,98,4,0,6,1,2,3,2,1,2,5,1,1
"229",229,7,4,0,4,2,1,1,4,5,2,4,3,3
"230",230,98,4,1,4,1,3,4,7,4,1,3,3,4
"231",231,98,4,0,5,1,1,2,8,2,2,9,3,4
"232",232,98,4,1,3,2,3,3,5,5,2,6,3,4
"233",233,98,4,1,3,1,3,4,4,5,2,6,3,4
"234",234,98,4,0,4,2,1,3,3,3,2,2,2,4
"235",235,98,4,0,5,1,1,1,7,3,2,5,3,4
"236",236,98,4,0,4,1,1,2,4,5,2,9,3,4
"237",237,98,4,1,4,2,1,1,4,4,2,3,3,4
"238",238,98,4,0,4,1,1,3,6,2,2,3,3,4
"239",239,98,4,0,6,2,3,2,5,1,2,2,3,4
"240",240,98,4,1,6,1,1,1,9,3,2,3,3,4
"241",241,16,4,9,6,9,9,9,4,2,1,9,3,1
"242",242,98,4,0,5,2,1,3,5,4,1,9,2,4
"243",243,98,4,0,4,1,1,3,4,4,2,2,2,4
"244",244,99,4,9,9,9,9,9,9,9,9,9,9,9
"245",245,99,4,9,9,9,9,9,9,9,9,9,9,9
"246",246,99,4,9,9,9,9,9,9,9,9,9,9,9
