"","from","to","friendship"
"1",4,1,4
"2",11,1,3
"3",13,1,4
"4",17,1,5
"5",19,1,4
"6",25,1,4
"7",29,1,5
"8",33,1,3
"9",45,1,3
"10",66,1,3
"11",87,1,3
"12",113,1,4
"13",114,1,4
"14",157,1,4
"15",181,1,4
"16",4,2,3
"17",8,2,4
"18",12,2,5
"19",17,2,3
"20",18,2,5
"21",19,2,3
"22",29,2,3
"23",32,2,4
"24",87,2,3
"25",95,2,4
"26",105,2,3
"27",107,2,3
"28",129,2,3
"29",134,2,3
"30",135,2,4
"31",164,2,3
"32",165,2,5
"33",15,3,3
"34",71,3,2
"35",99,3,3
"36",120,3,4
"37",140,3,3
"38",1,4,3
"39",2,4,3
"40",8,4,3
"41",13,4,4
"42",14,4,3
"43",16,4,3
"44",18,4,4
"45",19,4,5
"46",23,4,3
"47",24,4,3
"48",29,4,3
"49",33,4,2
"50",37,4,3
"51",57,4,1
"52",65,4,3
"53",68,4,3
"54",71,4,2
"55",83,4,3
"56",92,4,3
"57",95,4,4
"58",149,4,3
"59",168,4,4
"60",181,4,3
"61",26,5,4
"62",27,5,4
"63",35,5,4
"64",39,5,3
"65",80,5,3
"66",94,5,3
"67",145,5,3
"68",147,5,3
"69",156,5,3
"70",170,5,5
"71",172,5,3
"72",185,5,5
"73",193,5,3
"74",214,5,3
"75",31,6,3
"76",58,6,3
"77",67,6,3
"78",130,6,5
"79",141,6,4
"80",159,6,4
"81",164,6,3
"82",187,6,3
"83",201,6,4
"84",215,6,3
"85",20,7,4
"86",21,7,3
"87",27,7,4
"88",30,7,4
"89",34,7,4
"90",64,7,3
"91",86,7,4
"92",98,7,5
"93",104,7,5
"94",123,7,5
"95",124,7,3
"96",161,7,3
"97",182,7,5
"98",191,7,5
"99",203,7,4
"100",2,8,5
"101",11,8,3
"102",19,8,3
"103",131,8,3
"104",134,8,3
"105",164,8,3
"106",165,8,3
"107",176,8,3
"108",36,9,5
"109",61,9,3
"110",17,10,3
"111",57,10,1
"112",97,10,3
"113",117,10,3
"114",121,10,1
"115",13,11,3
"116",14,11,3
"117",16,11,2
"118",17,11,3
"119",19,11,3
"120",24,11,3
"121",25,11,3
"122",29,11,3
"123",122,11,3
"124",2,12,4
"125",18,12,3
"126",22,12,4
"127",29,12,3
"128",102,12,3
"129",112,12,5
"130",122,12,3
"131",125,12,3
"132",131,12,3
"133",134,12,4
"134",165,12,5
"135",198,12,3
"136",4,13,3
"137",10,13,1
"138",17,13,3
"139",18,13,3
"140",19,13,3
"141",29,13,4
"142",71,13,2
"143",80,13,3
"144",114,13,3
"145",4,14,3
"146",10,14,1
"147",11,14,4
"148",16,14,2
"149",18,14,3
"150",19,14,3
"151",24,14,3
"152",29,14,5
"153",71,14,3
"154",80,14,3
"155",87,14,3
"156",211,14,3
"157",3,15,4
"158",18,15,3
"159",63,15,3
"160",106,15,4
"161",158,15,5
"162",212,15,3
"163",3,16,3
"164",11,16,4
"165",14,16,3
"166",17,16,3
"167",23,16,4
"168",24,16,3
"169",25,16,4
"170",28,16,3
"171",31,16,3
"172",71,16,3
"173",80,16,3
"174",94,16,3
"175",135,16,3
"176",137,16,4
"177",155,16,3
"178",166,16,4
"179",209,16,4
"180",1,17,4
"181",2,17,5
"182",10,17,1
"183",11,17,3
"184",13,17,4
"185",14,17,4
"186",16,17,3
"187",18,17,3
"188",19,17,3
"189",24,17,3
"190",25,17,3
"191",27,17,3
"192",29,17,3
"193",31,17,3
"194",71,17,2
"195",94,17,4
"196",135,17,4
"197",150,17,3
"198",157,17,4
"199",170,17,3
"200",181,17,3
"201",2,18,5
"202",3,18,3
"203",4,18,3
"204",12,18,3
"205",15,18,4
"206",29,18,3
"207",106,18,3
"208",134,18,4
"209",158,18,3
"210",165,18,3
"211",189,18,3
"212",1,19,3
"213",4,19,4
"214",8,19,3
"215",13,19,3
"216",14,19,3
"217",17,19,3
"218",23,19,5
"219",29,19,4
"220",65,19,4
"221",119,19,3
"222",134,19,3
"223",3,20,3
"224",7,20,4
"225",16,20,2
"226",23,20,3
"227",25,20,3
"228",99,20,4
"229",100,20,3
"230",101,20,3
"231",114,20,4
"232",115,20,3
"233",120,20,3
"234",140,20,3
"235",155,20,3
"236",166,20,4
"237",190,20,3
"238",7,21,3
"239",30,21,3
"240",34,21,5
"241",86,21,3
"242",182,21,3
"243",198,21,4
"244",200,21,3
"245",203,21,3
"246",206,21,4
"247",12,22,4
"248",29,22,3
"249",40,22,3
"250",112,22,3
"251",122,22,3
"252",125,22,3
"253",134,22,4
"254",165,22,5
"255",194,22,3
"256",3,23,3
"257",19,23,4
"258",29,23,3
"259",69,23,3
"260",119,23,3
"261",134,23,4
"262",196,23,3
"263",2,24,3
"264",11,24,3
"265",13,24,3
"266",14,24,4
"267",16,24,3
"268",17,24,3
"269",25,24,3
"270",29,24,3
"271",40,24,3
"272",71,24,3
"273",80,24,5
"274",94,24,5
"275",106,24,3
"276",113,24,3
"277",122,24,3
"278",135,24,4
"279",153,24,3
"280",170,24,3
"281",217,24,3
"282",11,25,4
"283",16,25,3
"284",24,25,3
"285",71,25,4
"286",135,25,4
"287",166,25,3
"288",5,26,4
"289",19,26,3
"290",27,26,4
"291",30,26,3
"292",35,26,4
"293",65,26,4
"294",94,26,3
"295",148,26,3
"296",170,26,3
"297",172,26,4
"298",185,26,3
"299",200,26,3
"300",5,27,3
"301",17,27,3
"302",26,27,3
"303",30,27,4
"304",35,27,3
"305",80,27,4
"306",82,27,3
"307",94,27,3
"308",98,27,3
"309",135,27,4
"310",145,27,3
"311",172,27,4
"312",185,27,3
"313",203,27,3
"314",16,28,3
"315",30,28,4
"316",71,28,2
"317",1,29,3
"318",4,29,4
"319",10,29,1
"320",11,29,4
"321",13,29,5
"322",14,29,5
"323",18,29,4
"324",19,29,3
"325",23,29,3
"326",24,29,3
"327",7,30,3
"328",21,30,3
"329",28,30,4
"330",34,30,3
"331",51,30,3
"332",56,30,4
"333",86,30,3
"334",98,30,5
"335",123,30,3
"336",161,30,3
"337",182,30,3
"338",188,30,2
"339",203,30,3
"340",4,31,3
"341",15,31,3
"342",16,31,4
"343",17,31,4
"344",18,31,3
"345",19,31,3
"346",23,31,3
"347",88,31,3
"348",90,31,3
"349",95,31,3
"350",130,31,3
"351",131,31,4
"352",134,31,3
"353",135,31,3
"354",141,31,3
"355",150,31,3
"356",153,31,3
"357",157,31,3
"358",174,31,3
"359",2,32,4
"360",67,32,4
"361",88,32,3
"362",107,32,4
"363",131,32,3
"364",165,32,3
"365",186,32,3
"366",202,32,3
"367",1,33,4
"368",11,33,3
"369",17,33,3
"370",57,33,1
"371",68,33,4
"372",70,33,3
"373",71,33,2
"374",72,33,3
"375",181,33,5
"376",7,34,3
"377",16,34,2
"378",21,34,5
"379",30,34,3
"380",86,34,3
"381",182,34,3
"382",198,34,4
"383",200,34,3
"384",203,34,3
"385",206,34,3
"386",5,35,3
"387",26,35,4
"388",27,35,4
"389",65,35,3
"390",80,35,3
"391",94,35,3
"392",135,35,3
"393",145,35,3
"394",170,35,4
"395",172,35,5
"396",185,35,3
"397",9,36,5
"398",209,36,3
"399",4,37,3
"400",9,37,1
"401",46,37,3
"402",47,37,4
"403",51,37,3
"404",53,37,5
"405",55,37,4
"406",58,37,3
"407",65,37,3
"408",66,37,3
"409",74,37,3
"410",82,37,4
"411",91,37,3
"412",106,37,4
"413",129,37,3
"414",132,37,4
"415",168,37,3
"416",25,38,5
"417",41,38,3
"418",46,38,4
"419",50,38,3
"420",55,38,3
"421",60,38,3
"422",66,38,3
"423",126,38,3
"424",128,38,3
"425",152,38,5
"426",154,38,5
"427",156,38,2
"428",157,38,4
"429",176,38,3
"430",197,38,3
"431",214,38,3
"432",10,39,1
"433",29,39,3
"434",33,39,2
"435",37,39,3
"436",38,39,3
"437",41,39,3
"438",58,39,3
"439",68,39,5
"440",72,39,3
"441",89,39,3
"442",102,39,3
"443",108,39,3
"444",134,39,3
"445",144,39,4
"446",159,39,3
"447",163,39,3
"448",164,39,3
"449",168,39,3
"450",188,39,2
"451",200,39,3
"452",22,40,3
"453",89,40,5
"454",194,40,3
"455",38,41,4
"456",44,41,3
"457",53,41,3
"458",55,41,4
"459",59,41,3
"460",66,41,3
"461",73,41,3
"462",76,41,4
"463",82,41,4
"464",92,41,3
"465",95,41,3
"466",105,41,3
"467",127,41,3
"468",150,41,3
"469",156,41,3
"470",214,41,4
"471",215,41,3
"472",23,42,3
"473",41,42,3
"474",43,42,3
"475",44,42,3
"476",46,42,5
"477",47,42,5
"478",48,42,3
"479",51,42,3
"480",55,42,5
"481",56,42,3
"482",59,42,3
"483",62,42,3
"484",66,42,3
"485",76,42,3
"486",128,42,3
"487",136,42,2
"488",138,42,3
"489",141,42,3
"490",188,42,2
"491",196,42,3
"492",198,42,3
"493",28,43,4
"494",30,43,4
"495",42,43,5
"496",46,43,5
"497",47,43,4
"498",50,43,4
"499",51,43,4
"500",56,43,3
"501",59,43,4
"502",60,43,3
"503",62,43,3
"504",64,43,4
"505",69,43,3
"506",76,43,4
"507",81,43,3
"508",86,43,3
"509",98,43,3
"510",103,43,4
"511",104,43,3
"512",123,43,3
"513",128,43,4
"514",136,43,2
"515",138,43,5
"516",159,43,3
"517",196,43,5
"518",210,43,4
"519",9,44,1
"520",37,44,3
"521",39,44,4
"522",41,44,3
"523",42,44,4
"524",47,44,5
"525",48,44,4
"526",50,44,3
"527",53,44,4
"528",54,44,3
"529",55,44,5
"530",59,44,4
"531",60,44,4
"532",61,44,5
"533",66,44,5
"534",73,44,4
"535",128,44,3
"536",214,44,3
"537",216,44,3
"538",16,45,2
"539",71,45,5
"540",98,45,5
"541",113,45,3
"542",135,45,3
"543",166,45,3
"544",167,45,3
"545",37,46,3
"546",38,46,4
"547",42,46,3
"548",43,46,3
"549",47,46,4
"550",76,46,3
"551",128,46,3
"552",148,46,4
"553",152,46,3
"554",154,46,5
"555",157,46,3
"556",159,46,4
"557",176,46,4
"558",198,46,3
"559",216,46,3
"560",27,47,3
"561",37,47,5
"562",42,47,5
"563",44,47,5
"564",46,47,3
"565",53,47,4
"566",66,47,5
"567",73,47,4
"568",78,47,3
"569",87,47,3
"570",156,47,4
"571",215,47,3
"572",40,48,3
"573",41,48,3
"574",44,48,3
"575",47,48,3
"576",53,48,3
"577",54,48,3
"578",55,48,3
"579",59,48,3
"580",63,48,5
"581",66,48,4
"582",73,48,3
"583",92,48,3
"584",127,48,3
"585",145,48,3
"586",146,48,1
"587",147,48,3
"588",156,48,3
"589",158,48,3
"590",212,48,3
"591",28,49,3
"592",139,49,5
"593",143,49,3
"594",148,49,3
"595",163,49,3
"596",179,49,3
"597",183,49,3
"598",188,49,2
"599",213,49,3
"600",43,50,3
"601",44,50,3
"602",47,50,3
"603",59,50,5
"604",60,50,3
"605",76,50,5
"606",128,50,5
"607",138,50,3
"608",152,50,3
"609",154,50,4
"610",160,50,3
"611",210,50,3
"612",42,51,3
"613",43,51,3
"614",56,51,3
"615",64,51,4
"616",76,51,4
"617",81,51,3
"618",103,51,3
"619",106,51,5
"620",138,51,3
"621",158,51,3
"622",210,51,3
"623",15,52,5
"624",54,52,4
"625",63,52,3
"626",106,52,5
"627",158,52,5
"628",212,52,3
"629",9,53,1
"630",37,53,5
"631",41,53,3
"632",44,53,3
"633",47,53,5
"634",50,53,3
"635",54,53,3
"636",55,53,4
"637",66,53,5
"638",73,53,4
"639",74,53,4
"640",128,53,3
"641",15,54,3
"642",37,54,3
"643",41,54,3
"644",42,54,3
"645",44,54,3
"646",47,54,3
"647",48,54,5
"648",51,54,4
"649",52,54,3
"650",53,54,3
"651",55,54,3
"652",63,54,3
"653",66,54,3
"654",73,54,3
"655",82,54,3
"656",104,54,3
"657",106,54,3
"658",127,54,4
"659",158,54,4
"660",188,54,2
"661",192,54,4
"662",197,54,3
"663",209,54,3
"664",214,54,3
"665",4,55,3
"666",9,55,1
"667",16,55,3
"668",25,55,3
"669",37,55,5
"670",38,55,4
"671",41,55,5
"672",42,55,4
"673",44,55,3
"674",47,55,4
"675",53,55,3
"676",54,55,3
"677",59,55,3
"678",60,55,4
"679",63,55,3
"680",66,55,4
"681",73,55,3
"682",152,55,3
"683",154,55,3
"684",171,55,4
"685",172,55,3
"686",192,55,4
"687",212,55,4
"688",28,56,4
"689",30,56,4
"690",43,56,3
"691",51,56,3
"692",62,56,5
"693",69,56,4
"694",123,56,3
"695",10,58,1
"696",149,58,5
"697",41,59,4
"698",42,59,3
"699",43,59,3
"700",44,59,3
"701",46,59,3
"702",47,59,4
"703",50,59,5
"704",51,59,3
"705",63,59,4
"706",66,59,3
"707",76,59,5
"708",128,59,5
"709",138,59,3
"710",141,59,5
"711",152,59,3
"712",154,59,3
"713",156,59,3
"714",157,59,3
"715",160,59,4
"716",164,59,4
"717",172,59,3
"718",196,59,3
"719",9,60,1
"720",38,60,3
"721",39,60,3
"722",42,60,3
"723",44,60,3
"724",50,60,3
"725",61,60,4
"726",66,60,3
"727",68,60,3
"728",152,60,4
"729",154,60,4
"730",176,60,3
"731",191,60,4
"732",197,60,3
"733",216,60,3
"734",9,61,1
"735",42,61,3
"736",44,61,5
"737",47,61,3
"738",60,61,5
"739",62,61,5
"740",66,61,3
"741",98,61,4
"742",109,61,4
"743",123,61,3
"744",152,61,3
"745",188,61,2
"746",28,62,5
"747",30,62,4
"748",39,62,3
"749",42,62,4
"750",43,62,3
"751",51,62,3
"752",56,62,5
"753",61,62,3
"754",103,62,4
"755",123,62,5
"756",138,62,3
"757",188,62,2
"758",210,62,4
"759",15,63,3
"760",48,63,5
"761",66,63,3
"762",145,63,5
"763",147,63,3
"764",156,63,3
"765",157,63,3
"766",158,63,4
"767",160,63,3
"768",212,63,4
"769",7,64,3
"770",43,64,3
"771",51,64,4
"772",76,64,3
"773",81,64,4
"774",86,64,4
"775",103,64,3
"776",104,64,5
"777",123,64,3
"778",128,64,3
"779",138,64,3
"780",159,64,3
"781",207,64,4
"782",209,64,3
"783",210,64,4
"784",4,65,4
"785",5,65,3
"786",19,65,5
"787",23,65,3
"788",26,65,5
"789",35,65,4
"790",36,65,3
"791",37,65,5
"792",39,65,3
"793",44,65,3
"794",46,65,3
"795",66,65,3
"796",95,65,3
"797",111,65,3
"798",172,65,3
"799",9,66,1
"800",44,66,3
"801",47,66,4
"802",48,66,3
"803",53,66,5
"804",54,66,3
"805",55,66,3
"806",73,66,4
"807",6,67,3
"808",10,67,1
"809",32,67,3
"810",73,67,3
"811",97,67,3
"812",106,67,3
"813",167,67,3
"814",201,67,3
"815",4,68,3
"816",15,68,3
"817",29,68,3
"818",33,68,4
"819",37,68,3
"820",39,68,5
"821",67,68,3
"822",72,68,3
"823",102,68,3
"824",181,68,3
"825",3,69,3
"826",28,69,4
"827",196,69,3
"828",13,71,3
"829",16,71,3
"830",17,71,3
"831",25,71,5
"832",33,71,2
"833",45,71,5
"834",95,71,4
"835",98,71,4
"836",101,71,3
"837",113,71,3
"838",135,71,3
"839",153,71,3
"840",166,71,3
"841",15,72,3
"842",33,72,4
"843",39,72,4
"844",68,72,4
"845",102,72,4
"846",117,72,3
"847",134,72,3
"848",153,72,4
"849",181,72,3
"850",44,73,3
"851",47,73,3
"852",53,73,5
"853",55,73,3
"854",67,73,5
"855",10,74,1
"856",18,74,3
"857",37,74,4
"858",53,74,5
"859",54,74,3
"860",57,74,1
"861",75,74,3
"862",77,74,3
"863",82,74,3
"864",85,74,3
"865",97,74,5
"866",132,74,4
"867",151,74,3
"868",158,74,3
"869",178,74,3
"870",193,74,3
"871",214,74,3
"872",2,75,3
"873",8,75,3
"874",74,75,3
"875",77,75,4
"876",97,75,4
"877",129,75,3
"878",151,75,3
"879",156,75,2
"880",158,75,3
"881",167,75,3
"882",199,75,4
"883",214,75,3
"884",51,76,3
"885",64,76,3
"886",81,76,3
"887",121,76,3
"888",138,76,3
"889",188,76,2
"890",10,77,1
"891",74,77,5
"892",75,77,4
"893",85,77,4
"894",91,77,4
"895",97,77,5
"896",151,77,3
"897",3,78,3
"898",47,78,3
"899",84,78,4
"900",87,78,3
"901",101,78,4
"902",115,78,3
"903",182,78,4
"904",56,79,3
"905",58,79,4
"906",87,79,3
"907",102,79,3
"908",214,79,3
"909",5,80,3
"910",11,80,3
"911",13,80,3
"912",14,80,3
"913",16,80,3
"914",17,80,3
"915",24,80,4
"916",25,80,3
"917",27,80,4
"918",35,80,3
"919",71,80,2
"920",87,80,3
"921",94,80,3
"922",135,80,3
"923",170,80,3
"924",172,80,3
"925",51,81,3
"926",64,81,3
"927",76,81,3
"928",89,81,3
"929",103,81,4
"930",118,81,4
"931",128,81,3
"932",136,81,3
"933",138,81,3
"934",207,81,3
"935",210,81,3
"936",215,81,3
"937",27,82,3
"938",41,82,3
"939",87,82,3
"940",92,82,3
"941",124,82,3
"942",141,82,3
"943",142,82,3
"944",145,82,3
"945",156,82,4
"946",164,82,4
"947",214,82,4
"948",204,83,4
"949",71,84,2
"950",78,84,4
"951",87,84,3
"952",101,84,3
"953",120,84,3
"954",3,85,3
"955",10,85,1
"956",53,85,3
"957",71,85,2
"958",74,85,3
"959",75,85,3
"960",91,85,3
"961",92,85,3
"962",95,85,3
"963",97,85,3
"964",102,85,3
"965",106,85,3
"966",132,85,3
"967",7,86,5
"968",21,86,3
"969",27,86,3
"970",30,86,3
"971",34,86,3
"972",64,86,3
"973",103,86,3
"974",104,86,4
"975",123,86,5
"976",161,86,3
"977",180,86,3
"978",188,86,2
"979",2,87,5
"980",3,87,3
"981",11,87,3
"982",14,87,3
"983",17,87,3
"984",78,87,4
"985",80,87,3
"986",82,87,3
"987",88,87,4
"988",91,87,3
"989",92,87,3
"990",101,87,4
"991",105,87,3
"992",107,87,3
"993",114,87,4
"994",115,87,4
"995",141,87,3
"996",150,87,4
"997",166,87,3
"998",204,87,4
"999",214,87,3
"1000",2,88,3
"1001",10,88,1
"1002",32,88,3
"1003",67,88,3
"1004",87,88,4
"1005",95,88,3
"1006",97,88,3
"1007",105,88,3
"1008",107,88,5
"1009",205,88,3
"1010",40,89,5
"1011",71,89,2
"1012",101,89,3
"1013",106,89,5
"1014",117,89,3
"1015",120,89,3
"1016",194,89,3
"1017",31,90,3
"1018",71,90,2
"1019",150,90,3
"1020",4,91,3
"1021",23,91,3
"1022",37,91,4
"1023",48,91,3
"1024",58,91,3
"1025",67,91,3
"1026",74,91,3
"1027",77,91,3
"1028",82,91,4
"1029",85,91,4
"1030",87,91,3
"1031",92,91,4
"1032",93,91,3
"1033",95,91,4
"1034",97,91,4
"1035",106,91,3
"1036",129,91,3
"1037",149,91,4
"1038",158,91,3
"1039",168,91,4
"1040",192,91,3
"1041",215,91,5
"1042",48,92,3
"1043",82,92,3
"1044",91,92,3
"1045",93,92,5
"1046",95,92,5
"1047",102,92,3
"1048",141,92,3
"1049",158,92,4
"1050",204,92,3
"1051",214,92,3
"1052",215,92,5
"1053",15,93,3
"1054",91,93,3
"1055",92,93,4
"1056",117,93,3
"1057",141,93,4
"1058",158,93,3
"1059",5,94,3
"1060",16,94,3
"1061",24,94,3
"1062",35,94,3
"1063",80,94,4
"1064",170,94,5
"1065",185,94,3
"1066",2,95,4
"1067",71,95,2
"1068",92,95,4
"1069",93,95,3
"1070",102,95,3
"1071",153,95,3
"1072",155,95,4
"1073",156,95,3
"1074",158,95,3
"1075",166,95,3
"1076",25,96,3
"1077",32,96,4
"1078",109,96,5
"1079",127,96,5
"1080",141,96,3
"1081",152,96,3
"1082",156,96,2
"1083",188,96,2
"1084",191,96,5
"1085",205,96,3
"1086",217,96,3
"1087",10,97,1
"1088",74,97,5
"1089",75,97,4
"1090",77,97,5
"1091",83,97,3
"1092",85,97,3
"1093",91,97,4
"1094",151,97,3
"1095",7,98,4
"1096",45,98,4
"1097",61,98,3
"1098",103,98,3
"1099",161,98,4
"1100",182,98,4
"1101",183,98,3
"1102",203,98,4
"1103",207,98,3
"1104",3,99,4
"1105",20,99,4
"1106",100,99,4
"1107",101,99,3
"1108",120,99,3
"1109",140,99,4
"1110",155,99,3
"1111",157,99,3
"1112",166,99,3
"1113",190,99,3
"1114",3,100,4
"1115",16,100,2
"1116",20,100,4
"1117",99,100,4
"1118",120,100,3
"1119",140,100,4
"1120",155,100,3
"1121",157,100,3
"1122",166,100,3
"1123",190,100,3
"1124",3,101,3
"1125",20,101,3
"1126",71,101,4
"1127",78,101,4
"1128",84,101,4
"1129",87,101,3
"1130",115,101,4
"1131",72,102,3
"1132",89,102,3
"1133",117,102,3
"1134",42,103,3
"1135",43,103,3
"1136",51,103,5
"1137",62,103,4
"1138",64,103,4
"1139",76,103,3
"1140",81,103,4
"1141",86,103,3
"1142",98,103,3
"1143",126,103,4
"1144",128,103,3
"1145",136,103,3
"1146",138,103,4
"1147",179,103,3
"1148",198,103,3
"1149",207,103,3
"1150",210,103,4
"1151",7,104,4
"1152",51,104,3
"1153",64,104,5
"1154",76,104,4
"1155",81,104,3
"1156",86,104,4
"1157",103,104,4
"1158",123,104,3
"1159",128,104,3
"1160",136,104,2
"1161",138,104,4
"1162",159,104,3
"1163",188,104,2
"1164",207,104,4
"1165",209,104,3
"1166",210,104,4
"1167",217,104,4
"1168",2,105,3
"1169",3,105,3
"1170",16,105,3
"1171",54,105,3
"1172",58,105,3
"1173",69,105,3
"1174",87,105,4
"1175",88,105,4
"1176",92,105,3
"1177",107,105,4
"1178",215,105,3
"1179",3,106,3
"1180",15,106,4
"1181",18,106,3
"1182",40,106,4
"1183",51,106,3
"1184",52,106,3
"1185",54,106,3
"1186",67,106,3
"1187",71,106,2
"1188",85,106,3
"1189",89,106,3
"1190",92,106,3
"1191",129,106,3
"1192",137,106,4
"1193",140,106,3
"1194",146,106,1
"1195",158,106,3
"1196",32,107,3
"1197",85,107,3
"1198",87,107,4
"1199",88,107,5
"1200",91,107,3
"1201",92,107,3
"1202",95,107,4
"1203",97,107,3
"1204",105,107,4
"1205",112,108,3
"1206",122,108,4
"1207",125,108,3
"1208",131,108,3
"1209",134,108,3
"1210",156,108,2
"1211",165,108,3
"1212",174,108,5
"1213",178,108,5
"1214",186,108,3
"1215",189,108,3
"1216",193,108,5
"1217",212,108,3
"1218",25,109,4
"1219",38,109,3
"1220",96,109,5
"1221",126,109,5
"1222",152,109,3
"1223",154,109,3
"1224",176,109,3
"1225",191,109,5
"1226",197,109,3
"1227",201,109,4
"1228",205,109,5
"1229",209,109,3
"1230",115,110,3
"1231",116,110,3
"1232",133,110,4
"1233",136,110,2
"1234",169,110,3
"1235",208,110,5
"1236",60,111,3
"1237",61,111,4
"1238",65,111,3
"1239",128,111,3
"1240",130,111,5
"1241",138,111,3
"1242",152,111,4
"1243",162,111,3
"1244",171,111,3
"1245",173,111,3
"1246",176,111,3
"1247",183,111,3
"1248",188,111,2
"1249",195,111,3
"1250",201,111,3
"1251",215,111,3
"1252",216,111,4
"1253",12,112,3
"1254",22,112,3
"1255",108,112,3
"1256",122,112,3
"1257",125,112,4
"1258",131,112,4
"1259",165,112,4
"1260",174,112,3
"1261",178,112,3
"1262",193,112,4
"1263",1,113,5
"1264",4,113,3
"1265",16,113,3
"1266",17,113,3
"1267",24,113,3
"1268",25,113,4
"1269",45,113,5
"1270",71,113,4
"1271",80,113,3
"1272",114,113,4
"1273",115,113,4
"1274",135,113,3
"1275",153,113,5
"1276",157,113,3
"1277",166,113,3
"1278",1,114,4
"1279",4,114,3
"1280",13,114,4
"1281",16,114,4
"1282",17,114,3
"1283",20,114,3
"1284",24,114,3
"1285",71,114,3
"1286",78,114,3
"1287",87,114,3
"1288",101,114,3
"1289",113,114,4
"1290",115,114,5
"1291",140,114,3
"1292",166,114,3
"1293",185,114,3
"1294",11,115,3
"1295",14,115,3
"1296",16,115,2
"1297",20,115,3
"1298",28,115,3
"1299",71,115,2
"1300",78,115,3
"1301",84,115,3
"1302",87,115,4
"1303",101,115,3
"1304",110,115,3
"1305",113,115,3
"1306",114,115,4
"1307",120,115,3
"1308",158,115,3
"1309",166,115,3
"1310",133,116,3
"1311",136,116,4
"1312",169,116,5
"1313",180,116,4
"1314",198,116,4
"1315",206,116,3
"1316",208,116,5
"1317",57,117,1
"1318",155,117,3
"1319",158,117,3
"1320",56,118,3
"1321",61,118,4
"1322",62,118,3
"1323",64,118,3
"1324",76,118,3
"1325",81,118,5
"1326",103,118,3
"1327",126,118,5
"1328",136,118,3
"1329",138,118,4
"1330",159,118,4
"1331",173,118,4
"1332",188,118,2
"1333",210,118,4
"1334",19,119,4
"1335",23,119,5
"1336",122,119,4
"1337",134,119,5
"1338",204,119,5
"1339",3,120,4
"1340",89,120,3
"1341",99,120,3
"1342",133,121,3
"1343",18,122,3
"1344",108,122,3
"1345",112,122,3
"1346",119,122,3
"1347",121,122,3
"1348",134,122,4
"1349",178,122,3
"1350",186,122,3
"1351",193,122,3
"1352",7,123,3
"1353",28,123,3
"1354",30,123,3
"1355",56,123,3
"1356",62,123,4
"1357",64,123,3
"1358",86,123,4
"1359",104,123,3
"1360",124,123,3
"1361",159,123,3
"1362",180,123,4
"1363",188,123,2
"1364",3,124,3
"1365",7,124,3
"1366",28,124,3
"1367",30,124,3
"1368",82,124,3
"1369",98,124,3
"1370",123,124,3
"1371",161,124,3
"1372",182,124,3
"1373",183,124,3
"1374",203,124,3
"1375",209,124,4
"1376",12,125,3
"1377",22,125,3
"1378",108,125,4
"1379",112,125,4
"1380",122,125,3
"1381",131,125,4
"1382",134,125,3
"1383",156,125,3
"1384",165,125,4
"1385",174,125,3
"1386",178,125,3
"1387",189,125,3
"1388",193,125,5
"1389",214,125,3
"1390",38,126,3
"1391",46,126,3
"1392",118,126,3
"1393",136,126,2
"1394",152,126,3
"1395",188,126,2
"1396",191,126,4
"1397",205,126,3
"1398",210,126,3
"1399",38,127,3
"1400",41,127,3
"1401",48,127,3
"1402",54,127,3
"1403",63,127,3
"1404",92,127,3
"1405",96,127,4
"1406",128,127,3
"1407",145,127,4
"1408",156,127,3
"1409",157,127,3
"1410",159,127,5
"1411",170,127,3
"1412",191,127,5
"1413",202,127,3
"1414",207,127,4
"1415",210,127,3
"1416",215,127,5
"1417",217,127,3
"1418",50,128,5
