"","from","to","friendship"
"1419",59,128,5
"1420",76,128,5
"1421",127,128,3
"1422",138,128,3
"1423",152,128,3
"1424",156,128,4
"1425",210,128,3
"1426",2,129,4
"1427",75,129,3
"1428",95,129,3
"1429",106,129,4
"1430",131,129,4
"1431",156,129,2
"1432",168,129,3
"1433",176,129,4
"1434",199,129,3
"1435",6,130,4
"1436",8,130,3
"1437",31,130,3
"1438",37,130,3
"1439",57,130,1
"1440",58,130,5
"1441",65,130,3
"1442",75,130,3
"1443",105,130,3
"1444",111,130,4
"1445",121,130,1
"1446",126,130,4
"1447",131,130,3
"1448",171,130,3
"1449",176,130,5
"1450",191,130,5
"1451",199,130,4
"1452",201,130,4
"1453",204,130,3
"1454",215,130,3
"1455",8,131,3
"1456",31,131,3
"1457",32,131,3
"1458",108,131,4
"1459",112,131,3
"1460",122,131,3
"1461",125,131,3
"1462",129,131,4
"1463",142,131,3
"1464",156,131,2
"1465",165,131,3
"1466",174,131,3
"1467",176,131,3
"1468",178,131,3
"1469",189,131,4
"1470",193,131,4
"1471",10,132,1
"1472",37,132,3
"1473",74,132,3
"1474",97,132,3
"1475",187,132,3
"1476",89,133,3
"1477",110,133,4
"1478",121,133,5
"1479",194,133,4
"1480",11,134,3
"1481",12,134,3
"1482",18,134,3
"1483",19,134,4
"1484",22,134,3
"1485",23,134,4
"1486",71,134,3
"1487",112,134,3
"1488",119,134,5
"1489",121,134,3
"1490",122,134,5
"1491",125,134,3
"1492",165,134,3
"1493",167,134,3
"1494",2,135,3
"1495",16,135,2
"1496",17,135,3
"1497",18,135,3
"1498",24,135,3
"1499",45,135,3
"1500",80,135,3
"1501",94,135,3
"1502",168,135,3
"1503",103,136,3
"1504",104,136,3
"1505",110,136,3
"1506",116,136,3
"1507",133,136,3
"1508",138,136,3
"1509",169,136,4
"1510",180,136,5
"1511",198,136,3
"1512",207,136,3
"1513",208,136,4
"1514",95,137,4
"1515",106,137,4
"1516",121,137,3
"1517",130,137,3
"1518",149,137,3
"1519",158,137,3
"1520",192,137,3
"1521",39,138,3
"1522",42,138,3
"1523",43,138,5
"1524",51,138,5
"1525",62,138,3
"1526",64,138,3
"1527",76,138,4
"1528",81,138,4
"1529",103,138,3
"1530",104,138,3
"1531",118,138,4
"1532",126,138,4
"1533",128,138,4
"1534",136,138,2
"1535",159,138,3
"1536",210,138,5
"1537",49,139,4
"1538",143,139,5
"1539",148,139,4
"1540",162,139,3
"1541",163,139,3
"1542",175,139,3
"1543",179,139,3
"1544",184,139,3
"1545",188,139,3
"1546",213,139,4
"1547",217,139,5
"1548",3,140,3
"1549",20,140,3
"1550",99,140,4
"1551",100,140,4
"1552",190,140,3
"1553",18,141,3
"1554",59,141,4
"1555",93,141,3
"1556",137,141,3
"1557",144,141,3
"1558",149,141,4
"1559",156,141,2
"1560",164,141,5
"1561",173,141,3
"1562",192,141,3
"1563",215,141,3
"1564",28,142,3
"1565",131,142,3
"1566",133,142,3
"1567",167,142,5
"1568",49,143,4
"1569",139,143,5
"1570",148,143,4
"1571",156,143,2
"1572",161,143,3
"1573",162,143,4
"1574",163,143,4
"1575",175,143,3
"1576",179,143,3
"1577",183,143,4
"1578",184,143,3
"1579",188,143,5
"1580",207,143,3
"1581",213,143,4
"1582",217,143,3
"1583",141,144,3
"1584",145,144,3
"1585",156,144,2
"1586",158,144,3
"1587",159,144,5
"1588",160,144,3
"1589",188,144,2
"1590",5,145,3
"1591",15,145,3
"1592",27,145,3
"1593",63,145,5
"1594",127,145,4
"1595",141,145,4
"1596",144,145,3
"1597",147,145,4
"1598",154,145,3
"1599",156,145,4
"1600",157,145,4
"1601",158,145,4
"1602",159,145,4
"1603",160,145,5
"1604",167,145,3
"1605",170,145,3
"1606",172,145,3
"1607",15,146,3
"1608",106,146,3
"1609",156,146,2
"1610",158,146,3
"1611",189,146,3
"1612",5,147,4
"1613",35,147,3
"1614",48,147,5
"1615",63,147,5
"1616",82,147,3
"1617",127,147,4
"1618",141,147,3
"1619",144,147,3
"1620",145,147,5
"1621",154,147,3
"1622",156,147,4
"1623",157,147,5
"1624",158,147,4
"1625",159,147,5
"1626",160,147,5
"1627",162,147,3
"1628",163,147,3
"1629",167,147,3
"1630",170,147,4
"1631",172,147,3
"1632",212,147,3
"1633",26,148,4
"1634",39,148,3
"1635",46,148,5
"1636",49,148,3
"1637",86,148,3
"1638",126,148,3
"1639",139,148,5
"1640",143,148,3
"1641",156,148,2
"1642",157,148,3
"1643",159,148,4
"1644",160,148,3
"1645",161,148,3
"1646",162,148,5
"1647",163,148,5
"1648",175,148,3
"1649",179,148,5
"1650",183,148,3
"1651",184,148,4
"1652",188,148,3
"1653",191,148,4
"1654",195,148,3
"1655",198,148,3
"1656",200,148,3
"1657",202,148,3
"1658",207,148,5
"1659",210,148,5
"1660",211,148,4
"1661",213,148,3
"1662",4,149,3
"1663",23,149,3
"1664",29,149,3
"1665",58,149,5
"1666",82,149,3
"1667",87,149,3
"1668",91,149,5
"1669",92,149,3
"1670",93,149,4
"1671",106,149,3
"1672",129,149,3
"1673",137,149,3
"1674",141,149,5
"1675",156,149,2
"1676",164,149,3
"1677",168,149,4
"1678",192,149,4
"1679",212,149,3
"1680",215,149,4
"1681",17,150,3
"1682",31,150,3
"1683",40,150,3
"1684",41,150,5
"1685",82,150,4
"1686",87,150,3
"1687",90,150,3
"1688",92,150,3
"1689",95,150,4
"1690",105,150,3
"1691",156,150,3
"1692",158,150,3
"1693",204,150,4
"1694",214,150,5
"1695",215,150,3
"1696",10,151,1
"1697",97,151,3
"1698",101,151,3
"1699",164,151,3
"1700",38,152,5
"1701",46,152,3
"1702",50,152,3
"1703",59,152,3
"1704",60,152,4
"1705",111,152,3
"1706",128,152,4
"1707",130,152,3
"1708",154,152,5
"1709",156,152,2
"1710",157,152,3
"1711",160,152,3
"1712",171,152,4
"1713",176,152,3
"1714",188,152,2
"1715",191,152,3
"1716",197,152,3
"1717",215,152,4
"1718",216,152,3
"1719",24,153,3
"1720",25,153,3
"1721",71,153,3
"1722",72,153,3
"1723",113,153,3
"1724",121,153,3
"1725",157,153,3
"1726",168,153,3
"1727",38,154,5
"1728",46,154,5
"1729",47,154,3
"1730",52,154,4
"1731",59,154,3
"1732",60,154,3
"1733",152,154,5
"1734",156,154,2
"1735",157,154,4
"1736",160,154,3
"1737",168,154,3
"1738",188,154,2
"1739",3,155,3
"1740",16,155,2
"1741",20,155,3
"1742",71,155,2
"1743",95,155,5
"1744",99,155,3
"1745",117,155,3
"1746",157,155,3
"1747",158,155,3
"1748",166,155,5
"1749",6,156,3
"1750",38,156,3
"1751",47,156,3
"1752",59,156,3
"1753",63,156,3
"1754",80,156,3
"1755",82,156,5
"1756",92,156,3
"1757",95,156,3
"1758",125,156,3
"1759",127,156,3
"1760",128,156,4
"1761",134,156,4
"1762",141,156,5
"1763",144,156,3
"1764",145,156,4
"1765",146,156,1
"1766",150,156,3
"1767",154,156,3
"1768",158,156,3
"1769",159,156,3
"1770",160,156,3
"1771",163,156,3
"1772",164,156,4
"1773",167,156,3
"1774",172,156,3
"1775",189,156,3
"1776",214,156,3
"1777",215,156,4
"1778",17,157,4
"1779",18,157,3
"1780",38,157,5
"1781",63,157,4
"1782",145,157,4
"1783",147,157,3
"1784",154,157,4
"1785",156,157,3
"1786",158,157,3
"1787",159,157,3
"1788",160,157,5
"1789",200,157,3
"1790",15,158,5
"1791",52,158,3
"1792",54,158,3
"1793",63,158,3
"1794",89,158,3
"1795",92,158,4
"1796",106,158,4
"1797",117,158,3
"1798",137,158,3
"1799",146,158,1
"1800",155,158,3
"1801",159,158,3
"1802",212,158,3
"1803",39,159,3
"1804",46,159,3
"1805",106,159,3
"1806",127,159,3
"1807",130,159,3
"1808",141,159,3
"1809",144,159,4
"1810",145,159,3
"1811",152,159,3
"1812",154,159,3
"1813",156,159,3
"1814",157,159,3
"1815",158,159,4
"1816",160,159,3
"1817",161,159,4
"1818",163,159,3
"1819",168,159,3
"1820",179,159,3
"1821",183,159,4
"1822",187,159,3
"1823",188,159,2
"1824",196,159,3
"1825",210,159,3
"1826",215,159,3
"1827",3,160,3
"1828",5,160,3
"1829",27,160,3
"1830",35,160,3
"1831",41,160,3
"1832",59,160,4
"1833",63,160,4
"1834",141,160,3
"1835",144,160,3
"1836",145,160,4
"1837",147,160,4
"1838",148,160,3
"1839",154,160,3
"1840",156,160,3
"1841",157,160,5
"1842",158,160,3
"1843",159,160,5
"1844",162,160,3
"1845",163,160,3
"1846",164,160,3
"1847",172,160,3
"1848",179,160,3
"1849",184,160,3
"1850",188,160,3
"1851",200,160,3
"1852",202,160,4
"1853",213,160,3
"1854",216,160,3
"1855",7,161,4
"1856",21,161,3
"1857",30,161,4
"1858",34,161,3
"1859",98,161,5
"1860",124,161,5
"1861",141,161,3
"1862",156,161,2
"1863",159,161,4
"1864",163,161,3
"1865",174,161,3
"1866",182,161,5
"1867",183,161,5
"1868",188,161,2
"1869",203,161,4
"1870",111,162,3
"1871",139,162,3
"1872",143,162,3
"1873",148,162,3
"1874",163,162,3
"1875",171,162,4
"1876",175,162,3
"1877",179,162,3
"1878",183,162,3
"1879",188,162,4
"1880",207,162,4
"1881",213,162,3
"1882",26,163,3
"1883",49,163,3
"1884",139,163,4
"1885",143,163,3
"1886",148,163,5
"1887",156,163,2
"1888",159,163,5
"1889",160,163,3
"1890",161,163,4
"1891",162,163,3
"1892",175,163,5
"1893",179,163,5
"1894",183,163,4
"1895",184,163,3
"1896",188,163,4
"1897",200,163,4
"1898",207,163,3
"1899",213,163,3
"1900",4,164,3
"1901",6,164,4
"1902",8,164,4
"1903",10,164,1
"1904",18,164,3
"1905",82,164,4
"1906",97,164,3
"1907",141,164,5
"1908",144,164,4
"1909",145,164,3
"1910",149,164,3
"1911",156,164,3
"1912",159,164,3
"1913",160,164,3
"1914",168,164,3
"1915",176,164,4
"1916",192,164,3
"1917",194,164,3
"1918",215,164,3
"1919",2,165,3
"1920",8,165,3
"1921",12,165,4
"1922",18,165,3
"1923",22,165,4
"1924",112,165,4
"1925",122,165,3
"1926",125,165,3
"1927",131,165,3
"1928",167,165,3
"1929",174,165,5
"1930",193,165,3
"1931",194,165,3
"1932",16,166,4
"1933",20,166,3
"1934",45,166,5
"1935",71,166,2
"1936",95,166,5
"1937",155,166,5
"1938",19,167,3
"1939",40,167,3
"1940",71,167,2
"1941",95,167,3
"1942",102,167,3
"1943",106,167,3
"1944",134,167,3
"1945",142,167,3
"1946",145,167,3
"1947",155,167,3
"1948",156,167,2
"1949",186,167,3
"1950",192,167,3
"1951",194,167,3
"1952",4,168,5
"1953",6,168,3
"1954",18,168,3
"1955",37,168,3
"1956",39,168,4
"1957",58,168,3
"1958",83,168,3
"1959",91,168,5
"1960",106,168,3
"1961",129,168,3
"1962",141,168,3
"1963",149,168,5
"1964",153,168,3
"1965",156,168,2
"1966",159,168,3
"1967",164,168,4
"1968",29,169,4
"1969",110,169,3
"1970",116,169,4
"1971",133,169,3
"1972",136,169,4
"1973",156,169,2
"1974",159,169,3
"1975",180,169,5
"1976",196,169,4
"1977",198,169,5
"1978",208,169,4
"1979",217,169,3
"1980",5,170,5
"1981",24,170,3
"1982",26,170,3
"1983",27,170,4
"1984",35,170,4
"1985",80,170,4
"1986",94,170,5
"1987",127,170,3
"1988",145,170,3
"1989",156,170,3
"1990",158,170,3
"1991",172,170,3
"1992",185,170,3
"1993",202,170,5
"1994",206,170,4
"1995",217,170,4
"1996",16,171,2
"1997",71,171,2
"1998",111,171,3
"1999",117,171,3
"2000",121,171,3
"2001",130,171,3
"2002",141,171,4
"2003",149,171,3
"2004",150,171,3
"2005",152,171,5
"2006",153,171,3
"2007",154,171,3
"2008",156,171,2
"2009",157,171,3
"2010",161,171,3
"2011",162,171,4
"2012",168,171,3
"2013",188,171,3
"2014",191,171,3
"2015",201,171,4
"2016",205,171,3
"2017",213,171,4
"2018",217,171,3
"2019",26,172,3
"2020",27,172,4
"2021",35,172,3
"2022",121,172,1
"2023",145,172,3
"2024",156,172,2
"2025",157,172,3
"2026",160,172,3
"2027",185,172,5
"2028",37,173,3
"2029",39,173,3
"2030",141,173,5
"2031",149,173,4
"2032",156,173,2
"2033",159,173,3
"2034",168,173,3
"2035",176,173,3
"2036",183,173,3
"2037",199,173,3
"2038",201,173,4
"2039",215,173,3
"2040",17,174,3
"2041",31,174,3
"2042",66,174,3
"2043",108,174,4
"2044",112,174,3
"2045",122,174,3
"2046",125,174,3
"2047",165,174,4
"2048",178,174,3
"2049",186,174,3
"2050",189,174,3
"2051",193,174,5
"2052",194,174,4
"2053",49,175,3
"2054",139,175,4
"2055",143,175,3
"2056",148,175,5
"2057",156,175,2
"2058",161,175,3
"2059",163,175,5
"2060",179,175,5
"2061",188,175,3
"2062",200,175,3
"2063",8,176,4
"2064",38,176,3
"2065",46,176,4
"2066",129,176,5
"2067",130,176,3
"2068",131,176,4
"2069",141,176,3
"2070",156,176,2
"2071",164,176,4
"2072",199,176,5
"2073",201,176,4
"2074",204,176,3
"2075",185,177,4
"2076",187,177,3
"2077",198,177,3
"2078",202,177,3
"2079",211,177,3
"2080",212,177,3
"2081",108,178,5
"2082",112,178,3
"2083",122,178,4
"2084",125,178,3
"2085",131,178,3
"2086",156,178,2
"2087",158,178,3
"2088",174,178,4
"2089",186,178,3
"2090",189,178,3
"2091",193,178,5
"2092",212,178,4
"2093",49,179,3
"2094",139,179,3
"2095",148,179,4
"2096",163,179,5
"2097",175,179,3
"2098",188,179,2
"2099",200,179,3
"2100",21,180,3
"2101",76,180,3
"2102",104,180,3
"2103",116,180,3
"2104",123,180,3
"2105",126,180,3
"2106",136,180,5
"2107",169,180,3
"2108",188,180,2
"2109",196,180,4
"2110",198,180,5
"2111",206,180,3
"2112",207,180,3
"2113",208,180,3
"2114",1,181,4
"2115",4,181,3
"2116",11,181,3
"2117",17,181,3
"2118",33,181,5
"2119",45,181,3
"2120",57,181,1
"2121",70,181,3
"2122",71,181,2
"2123",72,181,3
"2124",7,182,5
"2125",21,182,3
"2126",34,182,3
"2127",78,182,3
"2128",161,182,4
"2129",198,182,3
"2130",203,182,4
"2131",23,183,3
"2132",28,183,3
"2133",30,183,4
"2134",49,183,3
"2135",98,183,3
"2136",121,183,1
"2137",139,183,3
"2138",143,183,3
"2139",148,183,3
"2140",159,183,3
"2141",161,183,4
"2142",162,183,3
"2143",163,183,3
"2144",173,183,3
"2145",175,183,4
"2146",179,183,3
"2147",184,183,4
"2148",188,183,3
"2149",191,183,3
"2150",195,183,3
"2151",198,183,3
"2152",210,183,3
"2153",213,183,5
"2154",217,183,3
"2155",139,184,3
"2156",143,184,3
"2157",145,184,3
"2158",148,184,3
"2159",163,184,3
"2160",179,184,3
"2161",183,184,3
"2162",188,184,4
"2163",196,184,4
"2164",198,184,3
"2165",200,184,5
"2166",213,184,3
"2167",5,185,5
"2168",172,185,5
"2169",177,185,3
"2170",187,185,4
"2171",196,185,4
"2172",197,185,3
"2173",200,185,3
"2174",202,185,3
"2175",211,185,4
"2176",189,186,3
"2177",194,186,3
"2178",27,187,3
"2179",41,187,3
"2180",159,187,5
"2181",177,187,4
"2182",185,187,5
"2183",193,187,3
"2184",197,187,4
"2185",198,187,3
"2186",200,187,4
"2187",202,187,3
"2188",211,187,5
"2189",212,187,3
"2190",214,187,3
"2191",49,188,3
"2192",71,188,2
"2193",98,188,3
"2194",139,188,4
"2195",143,188,5
"2196",148,188,4
"2197",152,188,3
"2198",157,188,3
"2199",160,188,3
"2200",161,188,3
"2201",162,188,5
"2202",163,188,3
"2203",171,188,4
"2204",175,188,3
"2205",179,188,4
"2206",183,188,5
"2207",184,188,4
"2208",191,188,3
"2209",195,188,4
"2210",198,188,3
"2211",200,188,3
"2212",203,188,3
"2213",204,188,3
"2214",207,188,5
"2215",213,188,4
"2216",216,188,4
"2217",217,188,5
"2218",131,189,3
"2219",156,189,2
"2220",193,189,3
"2221",3,190,4
"2222",16,190,2
"2223",20,190,4
"2224",71,190,2
"2225",99,190,4
"2226",100,190,3
"2227",101,190,3
"2228",114,190,4
"2229",140,190,4
"2230",155,190,3
"2231",166,190,3
"2232",7,191,3
"2233",38,191,3
"2234",60,191,4
"2235",61,191,3
"2236",96,191,3
"2237",109,191,3
"2238",126,191,5
"2239",127,191,3
"2240",130,191,5
"2241",136,191,2
"2242",152,191,3
"2243",159,191,4
"2244",176,191,3
"2245",183,191,3
"2246",188,191,2
"2247",196,191,3
"2248",197,191,3
"2249",198,191,3
"2250",200,191,3
"2251",201,191,3
"2252",205,191,4
"2253",211,191,3
"2254",4,192,3
"2255",15,192,3
"2256",16,192,2
"2257",28,192,5
"2258",48,192,3
"2259",54,192,5
"2260",55,192,5
"2261",63,192,3
"2262",82,192,3
"2263",87,192,3
"2264",91,192,3
"2265",92,192,3
"2266",141,192,4
"2267",149,192,4
"2268",155,192,3
"2269",158,192,3
"2270",164,192,3
"2271",166,192,3
"2272",167,192,3
"2273",173,192,3
"2274",185,192,3
"2275",188,192,2
"2276",197,192,3
"2277",200,192,3
"2278",204,192,5
"2279",209,192,4
"2280",212,192,5
"2281",12,193,3
"2282",31,193,3
"2283",108,193,5
"2284",112,193,5
"2285",122,193,4
"2286",125,193,5
"2287",131,193,3
"2288",134,193,3
"2289",146,193,1
"2290",156,193,2
"2291",158,193,3
"2292",165,193,3
"2293",174,193,4
"2294",178,193,5
"2295",186,193,3
"2296",189,193,3
"2297",212,193,4
"2298",22,194,3
"2299",40,194,5
"2300",89,194,4
"2301",133,194,4
"2302",164,194,3
"2303",167,194,4
"2304",174,194,5
"2305",186,194,3
"2306",196,194,3
"2307",28,195,3
"2308",46,195,3
"2309",63,195,3
"2310",71,195,2
"2311",111,195,4
"2312",121,195,3
"2313",126,195,3
"2314",127,195,3
"2315",128,195,4
"2316",130,195,3
"2317",139,195,3
"2318",143,195,3
"2319",148,195,3
"2320",152,195,4
"2321",153,195,3
"2322",156,195,2
"2323",157,195,3
"2324",159,195,3
"2325",160,195,3
"2326",163,195,3
"2327",167,195,3
"2328",177,195,3
"2329",183,195,5
"2330",188,195,4
"2331",197,195,4
"2332",200,195,3
"2333",201,195,3
"2334",202,195,5
"2335",204,195,5
"2336",205,195,3
"2337",210,195,4
"2338",211,195,3
"2339",213,195,3
"2340",216,195,5
"2341",30,196,3
"2342",43,196,3
"2343",69,196,4
"2344",136,196,2
"2345",169,196,5
"2346",180,196,3
"2347",197,196,3
"2348",6,197,3
"2349",25,197,3
"2350",33,197,2
"2351",38,197,4
"2352",109,197,3
"2353",136,197,2
"2354",152,197,3
"2355",154,197,3
"2356",177,197,3
"2357",185,197,3
"2358",187,197,5
"2359",188,197,2
"2360",189,197,4
"2361",191,197,3
"2362",192,197,4
"2363",195,197,4
"2364",200,197,4
"2365",201,197,3
"2366",205,197,3
"2367",207,197,3
"2368",208,197,4
"2369",211,197,3
"2370",216,197,3
"2371",217,197,3
"2372",21,198,4
"2373",34,198,3
"2374",136,198,2
"2375",177,198,3
"2376",180,198,3
"2377",206,198,3
"2378",8,199,3
"2379",75,199,5
"2380",129,199,5
"2381",130,199,4
"2382",131,199,3
"2383",173,199,3
"2384",176,199,5
"2385",201,199,4
"2386",204,199,4
"2387",205,199,3
"2388",5,200,3
"2389",21,200,3
"2390",34,200,3
"2391",163,200,3
"2392",175,200,3
"2393",179,200,4
"2394",184,200,3
"2395",187,200,3
"2396",188,200,2
"2397",197,200,4
"2398",202,200,3
"2399",206,200,5
"2400",211,200,3
"2401",213,200,3
"2402",216,200,3
"2403",6,201,3
"2404",38,201,3
"2405",95,201,4
"2406",130,201,4
"2407",152,201,3
"2408",158,201,3
"2409",171,201,3
"2410",173,201,5
"2411",176,201,3
"2412",191,201,3
"2413",199,201,5
"2414",204,201,5
"2415",27,202,3
"2416",32,202,3
"2417",127,202,3
"2418",131,202,3
"2419",148,202,3
"2420",156,202,3
"2421",157,202,5
"2422",160,202,3
"2423",170,202,4
"2424",177,202,4
"2425",184,202,3
"2426",185,202,3
"2427",187,202,3
"2428",188,202,2
"2429",195,202,3
"2430",200,202,5
"2431",211,202,5
"2432",212,202,5
"2433",213,202,3
"2434",216,202,3
"2435",217,202,4
"2436",7,203,3
"2437",21,203,3
"2438",27,203,3
"2439",34,203,3
"2440",98,203,3
"2441",124,203,3
"2442",182,203,4
"2443",188,203,2
"2444",198,203,3
"2445",83,204,3
"2446",87,204,3
"2447",92,204,3
"2448",95,204,4
"2449",119,204,4
"2450",134,204,5
"2451",201,204,3
"2452",61,205,3
"2453",96,205,3
"2454",109,205,5
"2455",126,205,4
"2456",154,205,3
"2457",171,205,4
"2458",176,205,3
"2459",191,205,5
"2460",197,205,3
"2461",199,205,3
"2462",200,205,3
"2463",201,205,4
"2464",204,205,3
"2465",5,206,3
"2466",16,206,4
"2467",21,206,4
"2468",34,206,4
"2469",116,206,3
"2470",136,206,2
"2471",169,206,3
"2472",170,206,4
"2473",179,206,3
"2474",185,206,3
"2475",197,206,3
"2476",198,206,4
"2477",200,206,5
"2478",202,206,3
"2479",208,206,3
"2480",217,206,4
"2481",64,207,3
"2482",76,207,3
"2483",81,207,3
"2484",98,207,4
"2485",103,207,3
"2486",104,207,4
"2487",127,207,4
"2488",136,207,3
"2489",138,207,3
"2490",139,207,3
"2491",143,207,3
"2492",148,207,4
"2493",175,207,3
"2494",177,207,3
"2495",179,207,3
"2496",180,207,3
"2497",188,207,3
"2498",197,207,3
"2499",210,207,5
"2500",217,207,5
"2501",87,208,3
"2502",110,208,3
"2503",115,208,3
"2504",116,208,4
"2505",136,208,4
"2506",169,208,4
"2507",170,208,3
"2508",180,208,4
"2509",197,208,3
"2510",198,208,4
"2511",200,208,3
"2512",206,208,4
"2513",64,209,3
"2514",69,209,3
"2515",124,209,5
"2516",130,209,3
"2517",137,209,3
"2518",192,209,4
"2519",196,209,3
"2520",197,209,3
"2521",198,209,3
"2522",43,210,3
"2523",76,210,3
"2524",81,210,3
"2525",103,210,4
"2526",118,210,3
"2527",126,210,4
"2528",128,210,3
"2529",136,210,2
"2530",138,210,5
"2531",148,210,3
"2532",159,210,3
"2533",183,210,3
"2534",198,210,3
"2535",207,210,5
"2536",217,210,3
"2537",127,211,3
"2538",157,211,3
"2539",177,211,4
"2540",185,211,4
"2541",187,211,5
"2542",191,211,4
"2543",197,211,4
"2544",200,211,3
"2545",202,211,5
"2546",212,211,4
"2547",15,212,3
"2548",40,212,3
"2549",48,212,5
"2550",63,212,3
"2551",92,212,3
"2552",108,212,4
"2553",145,212,3
"2554",146,212,3
"2555",156,212,3
"2556",157,212,4
"2557",158,212,4
"2558",174,212,3
"2559",177,212,3
"2560",178,212,4
"2561",185,212,3
"2562",188,212,2
"2563",189,212,3
"2564",192,212,4
"2565",193,212,5
"2566",197,212,3
"2567",200,212,3
"2568",202,212,4
"2569",211,212,4
"2570",49,213,3
"2571",71,213,2
"2572",124,213,4
"2573",143,213,4
"2574",148,213,4
"2575",157,213,3
"2576",159,213,3
"2577",160,213,4
"2578",161,213,4
"2579",162,213,3
"2580",163,213,3
"2581",171,213,4
"2582",175,213,3
"2583",179,213,4
"2584",183,213,5
"2585",184,213,4
"2586",188,213,3
"2587",191,213,3
"2588",195,213,3
"2589",198,213,3
"2590",200,213,3
"2591",202,213,3
"2592",207,213,3
"2593",209,213,3
"2594",210,213,3
"2595",2,214,5
"2596",18,214,3
"2597",31,214,3
"2598",38,214,3
"2599",41,214,4
"2600",74,214,3
"2601",76,214,3
"2602",82,214,4
"2603",87,214,3
"2604",92,214,3
"2605",102,214,3
"2606",134,214,3
"2607",150,214,5
"2608",156,214,2
"2609",164,214,3
"2610",204,214,3
"2611",215,214,3
"2612",6,215,3
"2613",37,215,3
"2614",41,215,4
"2615",47,215,4
"2616",48,215,3
"2617",81,215,3
"2618",91,215,4
"2619",92,215,5
"2620",93,215,4
"2621",95,215,4
"2622",102,215,3
"2623",127,215,4
"2624",130,215,5
"2625",141,215,4
"2626",149,215,4
"2627",150,215,3
"2628",152,215,3
"2629",156,215,4
"2630",159,215,5
"2631",164,215,4
"2632",173,215,4
"2633",188,215,3
"2634",214,215,4
"2635",217,215,3
"2636",44,216,3
"2637",46,216,4
"2638",82,216,3
"2639",111,216,3
"2640",128,216,3
"2641",152,216,3
"2642",154,216,3
"2643",157,216,3
"2644",159,216,3
"2645",160,216,4
"2646",188,216,4
"2647",195,216,4
"2648",197,216,3
"2649",200,216,3
"2650",211,216,3
"2651",16,217,2
"2652",39,217,3
"2653",94,217,4
"2654",104,217,4
"2655",139,217,4
"2656",143,217,3
"2657",148,217,3
"2658",152,217,3
"2659",159,217,3
"2660",164,217,3
"2661",171,217,4
"2662",179,217,3
"2663",183,217,3
"2664",188,217,5
"2665",191,217,3
"2666",200,217,3
"2667",202,217,3
"2668",206,217,4
"2669",207,217,5
"2670",210,217,3
"2671",213,217,3
"2672",215,217,3
