name;1911;1913;1914
Allonge;;;
Ferrari;;;
LeFauconnier;4;6;10
PelicierG;;;
Pomma;;;
Raymondi;;;
WoizyC;;;
АбрамовАИ;;;
АбриЛ;;;
АвеншепсГ;;;
АветисьянГА;;;
АвиловМИ;;;
АгафоновЕА;;2;
АдамсонАИ;;;
АдтКФ;;;
АйвазовскийИК;;;
АкимоваЮВ;;;
АкишинПИ;;;
АккерЭ;;;
АксенюкПД;;;
АладжаловМХ;;;
АлександроваЕВ;;;
АлександровНН;;;
АлександровскийСФ;;;
Александров-ТитовскойНА;;;
АлексеевАА;;;
АлексеевВВ;;;
АлексеевВМ;;;
АлексеевГД;;;
АлексеевНВ;;;
АлексоматиНХ;;;
АлферьеваСВ;;;
АльбрехтЛГ;;;
Альквист;;;
Альстедт;;;
АльтаманН;;;
АльтенбергИГ;;;
АльхимовичК;;;
Аман-Жан;;;
АммонВ;;;
АммосовСН;;;
АмосоваОФ;;;
АндерсонЕК;;;
АндреевВИ;;;
АнзимироваНВ;;;
АнисимовВК;;;
АнисимовЮП;;;
АнисфельдБИ;;;
АничковАИ;;;
Анкетэн;;;
АнтокольскийММ;;;
АнтоновАИ;;;
Антропова;;;
АнтроповИГ;;;
АпостолиВА;;;
АракелянС;;;
АраповАА;;;
АронсонНН;;;
АрхиповАЕ;;;
АрхиповСН;;;
АрчиониГ;;;
АскназийИЛ;;;
АстафьеваВЛ;;;
АтрыганьевН;;;
АтрыганьевНА;;;
АуэрГД;;;
АфанасьевАФ;;;
АфанасьевВЯ;;;
Афанасьев-Кокель;;;
АхенбахГ;;;
АхочинскаяЗП;;;
БабутММ;;;
Багратион-МухранскаяВН;;;
БадовскийАФ;;;
БаженовНВ;;;
БажинНН;;;
БакаловичСВ;;;
БаклундЭО;;;
БакмансонГК;;;
БакстЛС;;;
БакшеевВН;;;
БалашевПИ;;;
БалкСМ;;;
БаллодПП;;;
БалльерАИ;;;
БалунинМА;;;
Бальц;;;
БарамзинЕВ;;;
БарстельсГ;;;
БартВС;11;;
БаруздинаВМ;;;
БарынинАА;;;
БасинПВ;;;
Бастер;;;
БатуринВП;;;
БауманАГ;;;
БауманАЕ;;;
БауманАН;;;
БахНИ;;;
БахРР;;;
БахтеевВ;1;;
БахтинКН;;;
БашинджагианГЗ;;;
Беггрова-ГартманОФ;;;
БеггровАК;;;
БегерЛМ;;;
БегичевАР;;;
БедросовКП;;;
БезверховНП;;;
БезродныйМЕ;;;
БезродныйМС;;;
БезродныйПВ;;;
БейгульАН;;3;
БеккерА;;;
БеклемишевВА;;;
БёклинА;;;
БекряшевНГ;;;
БелкинВ;;;
Белоусов;;;
БелыйАФ;;;
БельзенЯЯ;;;
БелявскийМК;;;
БеляевА;;;
БеляковЕЕ;;;
БемЕМ;;;
БенарА;;;
БенигКБ;;;
БенкендорфДА;;;
БенуаАА;;;
БенуаАлекс Н;;;
БенуаАльб Н;;;
БергВВ;;;
БерггольцРА;;;
БеридтсонГФ;;;
БерингерВВ;;;
БеркосМА;;;
БерндтсонГФ;;;
БернштамЛА;;;
БероянАК;;;
БерсонА;;;
БершадскийЮР;;;
Биленкий;;;
БилибинИИ;;;
БильдерлингАА;;;
БиркингерФ;;;
БирнбаумСР;;;
БлаговещенскийНД;;;
БландоваМН;;;
БланшЖ;;;
БлахеХр;;;
БлентА;;;
БлиновЛД;;;
БломстедтВ;;;
БлощинскаяОП;;;
БлуменфельдАФ;;;
БлюмВИ;;;
БлюментальЮЮ;;;
БлюменфельдГМ;;8;
Бобрищева-Пушкина;;;
БобровАА;;;
БобровАВ;;;
БобровВА;;;
БобровВН;;;
БобровскийГМ;;;
БобровСП;;;
БогаевскийКФ;;;
БогатовНА;;;
БогатыревВС;;;
БогатыревИС;;;
Богданов-БельскийНП;;;
БогдановичФО;;;
БогдановНП;;;
БогданПГ;;;
БоголюбовАП;;;
БоголюбовБМ;;;
БогомазовТН;;;
БодаревскийНК;;;
БодемюллерФ;;;
Бодуэн-де-Куртенэ;7;;
Боженко;;;
БожеряновА;;;
БолдыревИЕ;;;
БолотновВД;;;
БольдиниД;;;
Бонч-ОсмоловскаяОГ;;;
Бонч-ТомашевскийЮО;;;
БоревскийН;;;
БоринВМ;;;
БорисовАА;;;
БорисовИФ;;;
Борисов-МусатовВЭ;;;
БормоткинВМ;;;
БородаевскийСО;;;
БортникерДМ;;;
БоруздинаВМ;;;
БоскинМВ;;;
БоссиЭ;3;;
БоткинаМС;;;
БоткинМП;;;
БоткинНИ;;;
БочаровМИ;;;
БрагаГ;;;
БрагаЭ;;;
БразельЮН;;;
БразОЭ;;;
БраиловскаяРН;;;
БраиловскийЛМ;;;
БракГ;;2;1
БрандтИ;;;
БраунЭГ;;;
Бредт;;;
Брендель;;;
БржозовскийФФ;;;
БроварьЯИ;;;
БродскийИИ;;;
БромбергФГ;;;
БронниковНК;;;
БронниковФА;;;
БроновицкийГФ;;;
БруниНА;;;
БруниФА;;;
БрускетиАЯ;;;
БрухардтФК;;;
БрэнгвинЖ;;;
БрюлловПА;;;
БрянскийМВ;;;
БубликовНЕ;;;
Будкевич;;;
Будковская-КибальчичНТ;;;
БудковскийГЯ;;;
БузалевскийБМ;;;
БуйндМА;;;
БуйницкийРИ;;;
БуковецкийЕИ;;;
БукФП;;;
БулацельРС;;;
Бульмеринг-КороленкоЕП;;;
БунинНН;;;
БургардтЛО;;;
Бургарт;;;
БуринскаяНФ;;;
БурлюкВД;6;;
БурлюкДД;6;;
БуровФЕ;;;
БурхардтФК;;;
БутлярСА;;;
Бутэ-де-Монвель;;;
БухгольцФФ;;;
БухерАИ;;;
БухПН;;;
БыкадоровНЯ;;;
БыковскийНМ;;;
БылевскийФС;;;
БыляшкинВВ;;;
БыстренинВИ;;;
БычковВП;;;
Бюлов;;;
Бяльницкий-БируляВК;;;
ВаальАЭ;;;
ВагнерПН;;;
ВаленковаСН;;;
ВалькевичМИ;;;
ВальтерИФ;;;
ВанДонген;;1;
ВарыпаеваНА;;;
ВасильевАА;;;
ВасильевВН;;;
ВасильевЛО;;;
ВасильевМА;;;
ВасильевФА;;;
ВасильковскийСИ;;;
ВаскиевскаяЕ;;;
ВаснецовАМ;;;
ВаснецовВМ;;;
ВасютинскийАА;;;
Ваулин;;;
ВахрамеевАИ;;;
ВахрушовФМ;;;
ВахтерЕА;;;
ВащенкоЕП;;;
ВеберЯЯ;;;
Вейсенгоф;;;
ВейценбергАИ;;;
ВекшинскийАН;;;
ВелигоноваЗВ;;;
ВеликановВИ;;;
ВельонскийПА;;;
ВельцИА;;;
ВенигКБ;;;
ВенигПК;;;
ВеревкинаМ;2;;
ВеревкинФИ;;;
ВерейскийГС;;;
ВерещагинВВ;;;
ВерещагинВП;;;
ВерещагинПИ;;;
ВерещагинПП;;;
ВернерАВ;;;
Версилова-НерчинскаяМН;;;
Вертс;;;
ВерховскаяЛН;;;
ВерховскийГЕ;;;
ВершининИЕ;;;
ВеселовПЛ;;;
ВеселовскийЛР;;;
ВестфаленАХ;;;
ВещиловКА;;;
ВжещьЕК;;;
ВизельЭО;;;
ВиллевальдеАБ;;;
ВиллевальдеБП;;;
Виллегас;;;
ВиллиамЕН;;;
ВиллиеМЯ;;;
ВильдеРФ;;;
Вилье;;;
ВинклерКА;;;
ВиноградоваОА;;;
ВиноградовСА;;;
ВинцманИК;;;
ВинцманОИ;;;
ВисковатоваЕИ;;;
ВисниовскаяЕИ;;;
ВистингаузенАА;;;
ВитвицкийИГ;;;
ВладимировИА;;;
ВладимирскийБ;;;
Владимирский-Киевский;;;
ВласовСА;;;
ВознесенскаяАВ;;;
ВоиновРВ;;;
ВолковВВ;;;
ВолковГ;;;
ВолковЕЕ;;;
ВолочинковАМ;;;
ВонгльСЭ;;;
ВороненковВЕ;;;
ВоронковВЕ;;;
ВороновПФ;;;
ВоронцовВВ;;;
ВоротынскийДА;;;
ВостингаузенА;;;
ВрангельЕК;;;
ВрачевИА;;;
ВроблевскийКК;;;
ВронскийСЕ;;;
ВрубельМА;;;
ВульфВВ;;;
ВучичевичВД;;;
ВывиорскийМИ;;;
ВыезжевАН;;;
ВысотскийКС;;;
ГаберцеттельВ;;;
ГабовичМГ;;;
ГаврильцевДМ;;;
ГагаринНВ;;;
Гаген-ТорнМЭ;;;
Гаген-ШварцЮ;;;
ГадонСС;;;
ГаевскийВМ;;;
Галеота;;;
ГалимскийВМ;;;
ГалкинИС;;;
ГалленА;;;
Галофрэ;;;
ГамбургерЛА;;;
ГаммК;;;
ГанзенАВ;;;
ГариевичБВ;;;
ГартманК;;;
ГаушАФ;;;
ГаушЛ;;;
ГвидоН;;;
Гейерманс;;;
ГейманС;;;
ГеллерПИ;;;
Гельдвейн-Ваулин;;;
ГеНН;;;
ГерардовНИ;;;
ГерасимовАМ;;;
ГерманГ;;;
ГермашевММ;;;
ГерсонВВ;;;
ГершевскийСИ;;;
ГефтлерКЭ;;;
ГигогабаевГИ;;;
ГинцбургИЯ;;;
ГинцбургМГ;;;
ГиньковскийПВ;;;
ГиппусНН;;;
ГирвАП;;;
ГиршльА;;;
ГлаголеваАС;;;
ГлобаНВ;;;
ГлущенкоДИ;;;
ГляйзесА;3;;
ГодунЕ;;;
ГолеевскаяПК;;;
ГолембиовскийКИ;;;
ГолицынаЕВ;;;
ГоловинАЯ;;;
ГоловкинГС;;;
ГоловковГС;;;
ГолубкинаАС;;;
ГолынскийВА;;;
ГольдблатЯС;;;
ГольддингерЕВ;;;
ГольдеЭН;;;
ГольдингерЕВ;;;
ГольдманИБ;;;
Гом-БаргЮЯ;;;
ГончароваНС;33;;
ГонякИК;;;
ГоравскийАГ;;;
ГорбатовКИ;;;
ГорбуновАК;;;
ГорбуновКА;;;
ГороновичВЯ;;;
ГороховИЛ;;;
ГорскийКН;;;
Горюшкин-СкоропудовИС;;;
ГосЭИ;;;
ГофманнК;;;
ГофманОА;;;
ГоффертАЕ;;;
ГрабарьИЭ;;;
ГрабовскийВ;;;
ГравеВФ;;;
ГрандковскийНК;;;
ГригорьевВМ;;;
ГригорьевПА;;;
ГриллихесАА;;;
ГриневАП;;;
ГриценкоНН;;;
ГрищенкоАВ;;9;
ГромовАА;;;
ГросманАГ;;;
ГрузенбергСН;;;
ГрузинскийПН;;;
ГрюнфельдМИ;;;
ГугунаеваИГ;;;
ГужавинММ;;;
ГузарскийВ;;;
ГузиковСМ;;;
ГулевичЕА;;;
ГумаликНИ;;;
ГунКФ;;;
ГусеваАА;;;
ГусеваГ;;;
ГусиковХК;;;
Гюбнер-СимонисЭВ;;;
ГюбнерЭВ;;;
ГюрджанАМ;;;
ДабижаАВ;;;
ДаксергофФП;;;
ДальГ;;;
Д'АльгеймММ;;;
Даньян-Бувере;;;
ДаугельА;;;
Дашенко;;;
ДворниковТЯ;;;
Де-Вит-МанизерСС;;;
ДевяткинСЕ;;;
ДевятовЯМ;;;
ДегазШ;;;
ДеевСС;;;
Делла-ВосОЛ;;;
ДенисовАК;;;
Денисов-УральскийАК;;;
ДеранА;;1;1
ДержавинНМ;;;
ДерюжинскийГВ;;;
ДетерсЭВ;;;
ДешинД;;;
ДженеевИА;;;
ДжилардиП;;;
ДжогинПП;;;
ДжонстонГ;;;
ДиллонМЛ;;;
ДилльЛ;;;
ДитрихЛА;;;
ДмитриевВА;;;
ДмитриевИЯ;;;
Дмитриев-КавказскийЛЕ;;;
Дмитриев-КавказскийН;;;
ДмитриевЛЕ;;;
Дмитриев-ОренбургскийНД;;;
ДмитриевС;;;
Дмитриев-ЧелябинскийИЯ;;;
ДобрижинскийВА;;;
ДобровольскийВГ;;;
ДобровольскийНФ;;;
ДобужинскийМВ;;;
ДолговАА;;;
ДолговИВ;;;
ДолинВК;;;
ДомарадзкийСЭ;;;
ДоскинНВ;;;
ДржевецкаяЛ;;;
ДриттенпрейсВП;;;
ДроздовИГ;;;
ДрюльВ;;;
ДубовскийНН;;;
ДубровскийАС;;;
ДудинИО;;;
ДуковичСА;;;
ДукшинскаяЭГ;;;
ДурдинБН;;;
ДурновМА;;;
ДыдышкоКВ;;;
Дьякова-АлексееваМН;;;
ДьяковаМН;;;
Дьяконов-МичанскийДВ;;;
ДюккерЕЭ;;;
ЕвреиновВВ;;;
ЕвсеевКИ;;;
ЕгорновАС;;;
ЕгорновСС;;;
ЕгоровАА;;;
ЕгоровЕВ;;;
ЕгоровЛЕ;;;
ЕгоровСЗ;;;
ЕдельфельдА;;;
ЕндогуровНИ;;;
ЕрмиловИ;;;
ЕрмолаевБН;;;
ЕрнефельтЕ;;;
ЕсиповДА;;;
ЕфимовИЕ;;;
ЕфимовМЯ;;;
ЕфимовНН;;;
ЖабаАК;;;
ЖабаНК;;;
ЖаравоваАА;;;
Жевакина-НикольскаяМС;;;
Жеврежеев;;;
ЖелтовскийИВ;;;
ЖижиленкоАИ;;;
ЖижиленкоГА;;;
ЖилардиРС;;;
ЖилинПФ;;;
ЖильцовИО;;;
ЖолтовскийИВ;;;
ЖувенауИ;;2;
ЖудинаОД;;;
ЖудинДА;;;
ЖуковаЛА;;;
ЖуковИС;;;
ЖуковскаяМБ;;;
ЖуковскийСЮ;;;
ЖупахинСГ;;;
ЖуравлевФС;;;
ЗабеллоПП;;;
ЗабоклицкийВЛ;;;
ЗаболотскийПП;;;
ЗаборовскийСА;;;
ЗавойкоСВ;;;
ЗагорскийНП;;;
ЗайднерЕ;;;
Зайднер-СаддЕ;;;
ЗайцевК;;;
ЗайцевММ;;;
ЗайцевНС;;;
ЗалеманГР;;;
ЗалесскийСИ;;;
ЗальВК;;;
ЗальцманГ;;;
ЗамирайлоВД;;;
Зандер-РандаловаЭЯ;;;
ЗандинМП;;;
ЗанковскийИН;;;
Запольский-ДовнарРВ;;;
ЗапорожцевВ;1;;
ЗарецкийАА;;;
ЗарецкийНВ;;;
ЗарубинВИ;;;
ЗарыцкийНВ;;;
ЗарянкоСК;;;
ЗахаровА;;;
ЗахаровИИ;;;
ЗахаровФИ;;;
ЗахгеймМО;;;
ЗверевВА;;;
ЗданевичКМ;;;
ЗедделерНН;;;
ЗейденбергСМ;;;
ЗеленскийММ;;;
ЗельмановаАМ;;;
ЗенковСН;;;
ЗенченкоВМ;;;
ЗеньковичНВ;;;
ЗиминГД;;;
ЗиминКН;;;
ЗиновьевА;;;
ЗиновьевПГ;;;
Зихель;;;
ЗлатовратскийАН;;;
ЗоммерКА;;;
ЗоммерРК;;;
ЗоринФТ;;;
ЗубчаниновНА;;;
ЗулмарЛН;;;
ИваницкаяЕЕ;;;
ИванкинГВ;;;
ИвановАА;;;
ИвановАЕ;;;
ИвановаКВ;;;
ИвановБМ;;;
ИвановДГ;;;
Иванов-ЛозовскийГМ;;;
ИвановМФ;;;
ИвановНЛ;;;
ИвановПП;;;
ИвановСВ;;;
ИвановСП;;;
ИвашинцеваМИ;;;
ИвковскийСК;;;
ИгнатьевМИ;;;
Иелита-ВольскийФА;;;
ИжакевичАА;;;
ИжакевичИС;;;
ИжевскаяМП;;;
ИзмайловичВМ;;;
ИзоевПФ;;;
Икар;;;
ИконниковАД;;;
ИльинЛН;;;
ИльинскийВК;;;
ИмеретинскаяОФ;;;
ИонинНА;;;
ИоффеМС;;;
ИсуповАВ;;;
ЙенсенДИ;;;
Кавос-ЗаруднаяЕС;;;
КавтарадзеАК;;;
КавтарадзеКЗ;;;
КагородовАД;;;
КазаковИС;;;
КазановскаяМА;;;
КазановскийВЛ;;;
КазанцеваЕВ;;;
КазанцевВП;;;
КазенЖ;;;
КайгородовАД;;;
КакабадзеДН;;;
КалачевЕА;;;
КалашниковЕА;;;
КалмаковНК;;;
КалмыковГО;;;
КалмыковИЛ;;;
Калупов;;;
КамаровВИ;;;
КамбаровИА;;;
КаменевЛЛ;;;
КаменскийБМ;;;
КаменскийГП;;;
КаменскийПП;;;
КаменскийФМ;;;
КаменскийФФ;;;
КаменцеваЕИ;;;
КандауровАИ;;;
КандинскийВВ;4;;
КанольдтА;3;;
КанцеровАГ;;;
КаплунАВ;;;
КаразинНН;;;
Каргус-СмоленскийВР;;;
КардовскийДН;;;
КаревАЕ;;;
КарелинАА;;;
Карем-ВайнштейнЕС;;;
КаринскаяА;;;
КарнеевАЕ;;;
КародоссиВ;;;
Карпинская-ГерунгЕГ;;;
Карпова-КоншевскаяЕГ;;;
КарриерГ;;;
КарцевПС;;;
КасаткинНА;;;
КасаткинНН;;;
Кастан;;;
КасцовКГ;;;
КатуркинТИ;;;
КафкаВА;;;
КашкадамоваЕН;;;
КелерКИ;;;
КелинПИ;;;
КеллерАВ;;;
КеллерИП;;;
КельхВФ;;;
КельхПИ;;;
КеммингГА;;;
КерзинМА;;;
КерковаСЛ;;;
КибальчичТВ;;;
КившенкоАД;;;
КикертК;;2;4
КирилловаАМ;;;
КиринарскийМА;;;
КирсановКВ;;;
КирьяцкойЕО;;;
КиселевАА;;;
Киселев-КамскийАА;;;
КиселевС;;;
КисельБА;;;
Китаева-ЦыхановскаяАВ;;;
КитаевВН;;;
КишневскийСЯ;;;
КлагесФА;;;
КлакачеваСЛ;;;
КлевезальА;;;
КлеверМ;;;
КлеверО;;;
КлеверЮЮ;;;
Клейнек;;;
КлементьевАН;;;
КлеттенбергАП;;;
КлименкоД;;;
КлименкоДВ;;;
КлодтМК;;;
КлодтМП;;;
КлодтНА;;;
КлодтПК;;;
КлокачеваЕН;;;
КлоповВА;;;
КлюкКФ;;;
КлюшниковСА;;;
Кнюпфер;;;
КнязьковаВВ;;;
КовалевскийПО;;;
Ковальская-ИльинаПВ;;;
КозловВВ;;;
КозловПС;;;
Козловская;;;
КозловскаяМА;;;
КокелинФ;;;
КолесниковИО;;;
Колесова-РощинаАИ;;;
КолпаковскаяВН;;;
КолупаевДА;;;
КомароваАТ;;;
КомаровВП;;;
КомаровДВ;;;
КомашкоАМ;;;
КонашевичВМ;;;
КондерШ;;;
КондратенкоГП;;;
КондратенкоКП;;;
КондратьевВВ;;;
КоненковСТ;;;
КонновАИ;;;
КоноваловаАС;;;
КоноваловВВ;;;
КонстантиноваАО;;;
КонстантиновНК;;;
КонстантинопольНК;;;
КончаловскийПП;20;76;20
КоптевГН;;;
КореневВФ;;;
Коренев-НовороссийскийВФ;;;
КорженевскийС;;;
КорзухинАИ;;;
КоринАМ;;;
КоринсскаяА;;;
КорневВФ;;;
КорнеевФМ;;;
КорниловНВ;;;
КоробковСТ;;;
КоровинКА;;;
КоровинПИ;;;
КоровинСА;;;
КорогодовСМ;;;
КоролевАП;;;
КорсаковЮП;;;
КорсунМП;;;
КорфВН;;;
КосмаковИА;;;
КоссакВ;;;
КостандиКК;;;
КостенкоКЕ;;;
КостенкоСП;;;
КострицЛМ;;;
КотарбинскийВА;;;
КотляревскийАМ;;;
КотовГИ;;;
КохПП;;;
КоцебуАЕ;;;
КочетоваОА;;;
КошелевНА;;;
КравченкоАИ;;;
КравченкоНИ;;;
КрамскаяСИ;;;
КрамскойИН;;;
КрандиевскаяНВ;;;
КрапоткинаМН;;;
КрарупТФ;;;
КрасиковВА;;;
КрасковскийИЕ;;;
КраснухаСП;;;
КраснушкинаЕЗ;;;
КрасовскийНП;;;
КрачковскийИЕ;;;
КрейтанВП;;;
КремерБД;;;
КремерБС;;;
Крепер;;;
КрествоскийИВ;;;
КрестианполПИ;;;
КречининСИ;;;
КржешИИ;;;
КржыжановскийКМ;;;
КривошеинСВ;;;
Крошечкин-КрошицкийМП;;;
КругликоваЕС;;;
КрчинскийСС;;;
КрыжицкийКЯ;;;
Крылов;;;
КрыловИИ;;;
КрымовНП;;;
КрюковВС;;;
КсеньеваЛ;;;
КсидиасПС;;;
КубинО;;2;
КубицкийВН;;;
КувакинК;;;
КувшинниковаСП;;;
КудрявцеваВА;;;
КудрявцевАИ;;;
КудрявцевСИ;;;
КузнецовВВ;;;
КузнецовКП;;;
КузнецовНД;;;
КузнецовП;;;
КузьминаНА;;;
КуинджиАИ;;;
КулагинаСО;;;
КулешаМК;;;
КуликовИС;;;
КуммингАА;;;
КуммингГА;;;
КупринАВ;;25;9
КурбатовМА;;;
КуреннойАА;;;
КуриарПП;;;
КуриарьПП;;;
КуринАВ;5;;
КурпатовАВ;;;
КусковАА;;;
КустодиевБМ;;;
КустодиевКБ;;;
КучинскийСИ;;;
КучумовВН;;;
Кюгельген;;;
КюгельхенСК;;;
КюнАМ;;;
КюфферлеПО;;;
ЛаверецкийНА;;;
ЛагардП;;;
Лагода-ШишкинаОА;;;
ЛагориоЛФ;;;
ЛадыженскийГА;;;
ЛажечниковАИ;;;
Лазарев-СтанищевСН;;;
ЛаманскаяАК;;;
ЛансгофЛЭ;;;
ЛансереЕА;;;
ЛансереЕЕ;;;
ЛансереНЕ;;;
ЛанскойИИ;;;
ЛапускинИВ;;;
Лапчинский;;;
Лапшина-СоколоваВН;;;
ЛапшинГА;;;
ЛарионовМФ;16;;
Лассон-СпироваЭА;;;
ЛатриМП;;;
ЛатушГ;;;
ЛатышеваА;;;
ЛаудонЕО;;;
ЛаховскийАБ;;;
ЛебедевАИ;;;
ЛебедевВВ;;;
ЛебедевКВ;;;
ЛебедевНМ;;;
ЛебланМВ;;;
ЛевандовскийВН;;;
ЛевиМБ;;;
ЛевинКП;;;
ЛевитанИИ;;;
ЛевитскийВН;;;
ЛевицкийРС;;;
ЛевкиевскийВВ;;;
ЛевотГА;;;
ЛевченкоИИ;;;
ЛевченкоПА;;;
Ле-ДантюМВ;;;
Леднев-ЩукинСЕ;;;
ЛеманЮЯ;;;
ЛемохКВ;;;
ЛенбахФ;;;
ЛенскийЗА;;;
ЛентуловАВ;16;45;21
ЛеонгардтФ;;;
ЛеонсМН;;;
ЛепетичНН;;;
ЛермиттЛ;;;
ЛермонтоваНВ;;;
ЛесючевскийВИ;;;
ЛехтФ;;;
ЛиберихНИ;;;
ЛиберманнМ;;;
ЛибшерК;;;
ЛизакИЛ;;;
ЛиндеманАЭ;;;
Липа;;;
ЛипгартЭК;;;
ЛисенерЕА;;;
ЛисицинБМ;;;
ЛисснерЭЭ;;;
ЛитвиненкоАМ;;;
ЛитвиновИИ;;;
ЛитовченкоНД;;;
Лихачева;;;
ЛихачевКА;;;
ЛищевВВ;;;
Лобанов;6;;
ЛобужинскийМВ;;;
ЛоккенбергВА;;;
ЛоренцНЕ;;;
ЛоренцНФ;;;
ЛосеваВИ;;;
ЛосевНД;;;
